session_date,time,year,width,width_atr,n,threshold
2012-11-01,2012-11-01 12:52:00-04:00,2012,2.5,2.5,15,2.5
2012-11-02,2012-11-02 10:59:00-04:00,2012,5.25,2.5,15,2.5
2012-11-05,2012-11-05 10:18:00-05:00,2012,6.5,2.2033898305084745,15,2.5
2012-11-07,2012-11-07 10:32:00-05:00,2012,6.0,2.222222222222222,15,2.5
2012-11-07,2012-11-07 14:47:00-05:00,2012,4.5,2.5,15,2.5
2012-11-09,2012-11-09 10:56:00-05:00,2012,4.75,2.4516129032258065,15,2.5
2012-11-12,2012-11-12 09:49:00-05:00,2012,6.5,2.4074074074074074,15,2.5
2012-11-12,2012-11-12 11:09:00-05:00,2012,3.75,2.2388059701492535,15,2.5
2012-11-12,2012-11-12 11:50:00-05:00,2012,2.5,2.2727272727272725,15,2.5
2012-11-12,2012-11-12 12:55:00-05:00,2012,2.5,2.3255813953488373,15,2.5
2012-11-19,2012-11-19 10:36:00-05:00,2012,4.5,2.142857142857143,15,2.5
2012-11-19,2012-11-19 11:15:00-05:00,2012,4.25,2.5,15,2.5
2012-11-19,2012-11-19 12:34:00-05:00,2012,2.5,2.439024390243903,15,2.5
2012-11-19,2012-11-19 14:21:00-05:00,2012,2.25,2.5,15,2.5
2012-11-20,2012-11-20 10:06:00-05:00,2012,5.25,2.234042553191489,15,2.5
2012-11-23,2012-11-23 10:03:00-05:00,2012,3.5,2.2764227642276422,15,2.5
2012-11-23,2012-11-23 11:08:00-05:00,2012,2.25,2.4657534246575343,15,2.5
2012-11-26,2012-11-26 10:00:00-05:00,2012,4.5,2.4324324324324325,15,2.5
2012-11-28,2012-11-28 11:04:00-05:00,2012,4.75,2.435897435897436,15,2.5
2012-11-29,2012-11-29 10:26:00-05:00,2012,6.0,2.4742268041237114,15,2.5
2012-12-03,2012-12-03 10:52:00-05:00,2012,3.25,2.3636363636363638,15,2.5
2012-12-03,2012-12-03 11:47:00-05:00,2012,3.25,2.4074074074074074,15,2.5
2012-12-03,2012-12-03 12:57:00-05:00,2012,2.25,2.368421052631579,15,2.5
2012-12-05,2012-12-05 10:15:00-05:00,2012,7.25,2.301587301587302,15,2.5
2012-12-05,2012-12-05 13:31:00-05:00,2012,3.5,2.4347826086956523,15,2.5
2012-12-06,2012-12-06 09:49:00-05:00,2012,9.75,2.4683544303797467,15,2.5
2012-12-07,2012-12-07 10:20:00-05:00,2012,6.75,2.5,15,2.5
2012-12-07,2012-12-07 12:10:00-05:00,2012,4.25,2.5,15,2.5
2012-12-10,2012-12-10 10:03:00-05:00,2012,5.75,2.110091743119266,15,2.5
2012-12-10,2012-12-10 11:26:00-05:00,2012,2.25,2.1176470588235294,15,2.5
2012-12-11,2012-12-11 09:49:00-05:00,2012,5.5,2.105263157894737,15,2.5
2012-12-11,2012-12-11 10:22:00-05:00,2012,3.75,2.34375,15,2.5
