outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,disagree,test1,2021,74,0,27,47,0.5,0.5657370517928287,0.4342629482071713,0.0,0.48223322924518147,0.01776677075481853,-3.425675675675676,-2.75
secondary,disagree,test2,2021,74,0,47,27,0.5,0.5657370517928287,0.4342629482071713,0.0,0.5177667707548186,-0.017766770754818584,3.425675675675676,2.75
secondary,all_test1,test1,2021,246,0,138,108,0.5,0.5657370517928287,0.4342629482071713,0.0,0.5080167136332717,-0.008016713633271721,-8.341463414634147,-0.75
secondary,all_test1,test2,2021,246,0,158,88,0.5,0.5657370517928287,0.4342629482071713,0.0,0.5187056651443008,-0.01870566514430083,-6.280487804878049,-0.5
secondary,agree,test1,2022,170,0,80,90,0.45294117647058824,0.452,0.548,0.0,0.5028235294117648,-0.049882352941176544,-29.116176470588236,-20.0
secondary,agree,test2,2022,170,0,80,90,0.45294117647058824,0.452,0.548,0.0,0.5028235294117648,-0.049882352941176544,-29.116176470588236,-20.0
secondary,disagree,test1,2022,73,0,31,42,0.6027397260273972,0.452,0.548,0.0,0.5072328767123289,0.09550684931506837,13.695205479452055,101.5
secondary,disagree,test2,2022,73,0,42,31,0.3972602739726027,0.452,0.548,0.0,0.49276712328767125,-0.09550684931506853,-13.695205479452055,-101.5
secondary,all_test1,test1,2022,243,0,111,132,0.49794238683127573,0.452,0.548,0.0,0.5041481481481482,-0.0062057613168725045,-16.255144032921812,-1.5
secondary,all_test1,test2,2022,243,0,122,121,0.43621399176954734,0.452,0.548,0.0,0.49980246913580245,-0.06358847736625511,-24.483539094650205,-36.75
secondary,agree,test1,2023,174,0,103,71,0.4942528735632184,0.5685483870967742,0.4314516129032258,0.0,0.5126065999258435,-0.018353726362625056,4.425287356321839,-0.5
secondary,agree,test2,2023,174,0,103,71,0.4942528735632184,0.5685483870967742,0.4314516129032258,0.0,0.5126065999258435,-0.018353726362625056,4.425287356321839,-0.5
secondary,disagree,test1,2023,68,0,34,34,0.5147058823529411,0.5685483870967742,0.4314516129032258,0.0,0.5,0.014705882352941124,6.6286764705882355,7.75
secondary,disagree,test2,2023,68,0,34,34,0.4852941176470588,0.5685483870967742,0.4314516129032258,0.0,0.5,-0.01470588235294118,-6.6286764705882355,-7.75
secondary,all_test1,test1,2023,242,0,137,105,0.5,0.5685483870967742,0.4314516129032258,0.0,0.5090642495334579,-0.009064249533457858,5.044421487603306,1.0
secondary,all_test1,test2,2023,242,0,137,105,0.49173553719008267,0.5685483870967742,0.4314516129032258,0.0,0.5090642495334579,-0.017328712343375186,1.3192148760330578,-1.5
secondary,agree,test1,2024,163,0,102,61,0.50920245398773,0.570281124497992,0.42971887550200805,0.0,0.5176780742602312,-0.00847562027250115,-0.5076687116564417,1.5
secondary,agree,test2,2024,163,0,102,61,0.50920245398773,0.570281124497992,0.42971887550200805,0.0,0.5176780742602312,-0.00847562027250115,-0.5076687116564417,1.5
secondary,disagree,test1,2024,78,0,34,44,0.5512820512820513,0.570281124497992,0.42971887550200805,0.0,0.49098959942333437,0.060292451858716956,11.817307692307692,15.875
secondary,disagree,test2,2024,78,0,44,34,0.44871794871794873,0.570281124497992,0.42971887550200805,0.0,0.5090104005766657,-0.060292451858716956,-11.817307692307692,-15.875
secondary,all_test1,test1,2024,241,0,136,105,0.5228215767634855,0.570281124497992,0.42971887550200805,0.0,0.5090403106200736,0.013781266143411908,3.4813278008298756,4.5
secondary,all_test1,test2,2024,241,0,146,95,0.4896265560165975,0.570281124497992,0.42971887550200805,0.0,0.5148727690846373,-0.025246213068039813,-4.168049792531121,-3.0
secondary,agree,test1,2025,159,0,95,64,0.44025157232704404,0.5506072874493927,0.4493927125506073,0.0,0.5098668296284979,-0.0696152573014539,-44.83490566037736,-28.25
secondary,agree,test2,2025,159,0,95,64,0.44025157232704404,0.5506072874493927,0.4493927125506073,0.0,0.5098668296284979,-0.0696152573014539,-44.83490566037736,-28.25
secondary,disagree,test1,2025,78,0,34,44,0.46153846153846156,0.5506072874493927,0.4493927125506073,0.0,0.49351188622443687,-0.031973424685975305,-26.083333333333332,-26.5
secondary,disagree,test2,2025,78,0,44,34,0.5384615384615384,0.5506072874493927,0.4493927125506073,0.0,0.5064881137755631,0.031973424685975305,26.083333333333332,26.5
secondary,all_test1,test1,2025,237,0,129,108,0.4472573839662447,0.5506072874493927,0.4493927125506073,0.0,0.5044841900271614,-0.05722680606091668,-38.663502109704645,-27.25
secondary,all_test1,test2,2025,237,0,139,98,0.47257383966244726,0.5506072874493927,0.4493927125506073,0.0,0.5087548471958865,-0.036181007533439224,-21.494725738396625,-12.75
secondary,agree,test1,2026,111,0,63,48,0.5585585585585585,0.5302013422818792,0.4697986577181208,0.0,0.5040812624705242,0.05447729608803431,23.324324324324323,48.5
secondary,agree,test2,2026,111,0,63,48,0.5585585585585585,0.5302013422818792,0.4697986577181208,0.0,0.5040812624705242,0.05447729608803431,23.324324324324323,48.5
secondary,disagree,test1,2026,30,0,12,18,0.43333333333333335,0.5302013422818792,0.4697986577181208,0.0,0.49395973154362416,-0.06062639821029081,-78.53333333333333,-34.375
secondary,disagree,test2,2026,30,0,18,12,0.5666666666666667,0.5302013422818792,0.4697986577181208,0.0,0.5060402684563758,0.06062639821029081,78.53333333333333,34.375
secondary,all_test1,test1,2026,141,0,75,66,0.5319148936170213,0.5302013422818792,0.4697986577181208,0.0,0.5019277452520349,0.029987148364986393,1.6524822695035462,28.25
secondary,all_test1,test2,2026,141,0,81,60,0.5602836879432624,0.5302013422818792,0.4697986577181208,0.0,0.504498072254748,0.05578561568851448,35.0709219858156,43.0
