outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
primary,disagree,test1,2019,75,1,33,42,0.4666666666666667,0.606425702811245,0.3895582329317269,0.004016064257028112,0.48497991967871484,-0.01831325301204817,3.99,-3.0
primary,disagree,test2,2019,75,1,42,33,0.52,0.606425702811245,0.3895582329317269,0.004016064257028112,0.511004016064257,0.008995983935742968,-3.99,3.0
primary,all_test1,test1,2019,237,1,144,93,0.4767932489451477,0.606425702811245,0.3895582329317269,0.004016064257028112,0.5213258095673835,-0.04453256062223582,1.7130801687763713,-2.25
primary,all_test1,test2,2019,237,1,153,84,0.4936708860759494,0.606425702811245,0.3895582329317269,0.004016064257028112,0.529561283107112,-0.035890397031162646,-0.8122362869198312,-0.5
primary,agree,test1,2020,173,1,117,56,0.5144508670520231,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5323535606468373,-0.017902693594814112,-10.393063583815028,4.0
primary,agree,test2,2020,173,1,117,56,0.5144508670520231,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5323535606468373,-0.017902693594814112,-10.393063583815028,4.0
primary,disagree,test1,2020,68,1,30,38,0.4117647058823529,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.48380566801619423,-0.07204096213384131,-6.231617647058823,-33.0
primary,disagree,test2,2020,68,1,38,30,0.5735294117647058,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5080971659919029,0.06543224577280293,6.231617647058823,33.0
primary,all_test1,test1,2020,241,2,147,94,0.4854771784232365,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5186554000705562,-0.033178221647319706,-9.218879668049793,-9.0
primary,all_test1,test2,2020,241,2,155,86,0.5311203319502075,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5255094326944075,0.005610899255799939,-5.702282157676349,7.75
primary,agree,test1,2021,172,0,111,61,0.48255813953488375,0.5617529880478087,0.43824701195219123,0.0,0.5179514500138979,-0.03539331047901412,-10.159883720930232,-4.125
primary,agree,test2,2021,172,0,111,61,0.48255813953488375,0.5617529880478087,0.43824701195219123,0.0,0.5179514500138979,-0.03539331047901412,-10.159883720930232,-4.125
primary,disagree,test1,2021,74,0,27,47,0.5,0.5617529880478087,0.43824701195219123,0.0,0.48331000323032197,0.016689996769678028,-0.8006756756756757,-4.5
primary,disagree,test2,2021,74,0,47,27,0.5,0.5617529880478087,0.43824701195219123,0.0,0.5166899967696781,-0.016689996769678084,0.8006756756756757,4.5
primary,all_test1,test1,2021,246,0,138,108,0.4878048780487805,0.5617529880478087,0.43824701195219123,0.0,0.5075308522009523,-0.01972597415217181,-7.344512195121951,-4.125
primary,all_test1,test2,2021,246,0,158,88,0.4878048780487805,0.5617529880478087,0.43824701195219123,0.0,0.5175719884688886,-0.029767110420108156,-6.862804878048781,-1.875
primary,agree,test1,2022,170,0,80,90,0.43529411764705883,0.456,0.544,0.0,0.5025882352941177,-0.06729411764705884,-29.58529411764706,-16.375
primary,agree,test2,2022,170,0,80,90,0.43529411764705883,0.456,0.544,0.0,0.5025882352941177,-0.06729411764705884,-29.58529411764706,-16.375
primary,disagree,test1,2022,73,0,31,42,0.6027397260273972,0.456,0.544,0.0,0.5066301369863014,0.09610958904109579,14.45890410958904,114.5
