outcome,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,test2_down,OOS,165,0,0,165,0.4484848484848485,0.5429292929292929,0.45707070707070707,0.0,0.45707070707070707,-0.008585858585858586,-28.862121212121213,-36.5
secondary,test2_pooled,OOS,396,0,231,165,0.5,0.5429292929292929,0.45707070707070707,0.0,0.5071548821548821,-0.007154882154882136,-2.1906565656565657,0.875
secondary,always_long,OOS,396,0,396,0,0.5429292929292929,0.5429292929292929,0.45707070707070707,0.0,0.5429292929292929,0.0,21.86111111111111,34.0
secondary,test1_bull,2010,13,0,13,0,0.6923076923076923,0.6896551724137931,0.3103448275862069,0.0,0.6896551724137931,0.0026525198938991412,10.711538461538462,19.0
secondary,test1_bear,2010,6,0,0,6,0.3333333333333333,0.6896551724137931,0.3103448275862069,0.0,0.3103448275862069,0.02298850574712641,-11.0,-35.875
secondary,test1_pooled,2010,19,0,13,6,0.5789473684210527,0.6896551724137931,0.3103448275862069,0.0,0.5698729582577133,0.00907441016333932,3.8552631578947367,19.0
secondary,test2_up,2010,20,0,20,0,0.65,0.6896551724137931,0.3103448275862069,0.0,0.6896551724137931,-0.03965517241379313,10.475,17.375
secondary,test2_down,2010,6,0,0,6,0.16666666666666666,0.6896551724137931,0.3103448275862069,0.0,0.3103448275862069,-0.14367816091954025,-34.166666666666664,-52.375
secondary,test2_pooled,2010,26,0,20,6,0.5384615384615384,0.6896551724137931,0.3103448275862069,0.0,0.6021220159151194,-0.06366047745358094,0.17307692307692307,8.5
secondary,always_long,2010,29,0,29,0,0.6896551724137931,0.6896551724137931,0.3103448275862069,0.0,0.6896551724137931,0.0,15.698275862068966,20.25
secondary,test1_bull,2011,28,0,28,0,0.35714285714285715,0.47619047619047616,0.5238095238095238,0.0,0.47619047619047616,-0.11904761904761901,-5.464285714285714,-21.5
secondary,test1_bear,2011,24,0,0,24,0.4166666666666667,0.47619047619047616,0.5238095238095238,0.0,0.5238095238095238,-0.10714285714285715,-2.6458333333333335,-7.625
secondary,test1_pooled,2011,52,0,28,24,0.38461538461538464,0.47619047619047616,0.5238095238095238,0.0,0.4981684981684982,-0.11355311355311354,-4.163461538461538,-9.375
secondary,test2_up,2011,33,0,33,0,0.42424242424242425,0.47619047619047616,0.5238095238095238,0.0,0.47619047619047616,-0.05194805194805191,-5.825757575757576,-20.75
secondary,test2_down,2011,30,0,0,30,0.4666666666666667,0.47619047619047616,0.5238095238095238,0.0,0.5238095238095238,-0.05714285714285716,-9.675,-5.75
secondary,test2_pooled,2011,63,0,33,30,0.4444444444444444,0.47619047619047616,0.5238095238095238,0.0,0.4988662131519275,-0.054421768707483054,-7.658730158730159,-7.75
secondary,always_long,2011,63,0,63,0,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.0,0.47619047619047616,0.0,1.5555555555555556,-3.75
secondary,test1_bull,2012,45,0,45,0,0.6,0.55,0.44,0.01,0.55,0.04999999999999993,5.883333333333334,5.25
secondary,test1_bear,2012,33,0,0,33,0.48484848484848486,0.55,0.44,0.01,0.44,0.04484848484848486,-2.515151515151515,-6.0
secondary,test1_pooled,2012,78,0,45,33,0.5512820512820513,0.55,0.44,0.01,0.5034615384615385,0.047820512820512806,2.3301282051282053,3.125
secondary,test2_up,2012,57,1,57,0,0.5087719298245614,0.55,0.44,0.01,0.55,-0.041228070175438614,1.8596491228070176,1.0
secondary,test2_down,2012,43,0,0,43,0.3953488372093023,0.55,0.44,0.01,0.44000000000000006,-0.04465116279069775,-6.1976744186046515,-9.25
secondary,test2_pooled,2012,100,1,57,43,0.46,0.55,0.44,0.01,0.5027,-0.042700000000000016,-1.605,-1.625
secondary,always_long,2012,100,1,100,0,0.55,0.55,0.44,0.01,0.55,0.0,3.725,5.25
secondary,test1_bull,2013,96,0,96,0,0.5729166666666666,0.6101694915254238,0.384180790960452,0.005649717514124294,0.6101694915254238,-0.03725282485875714,2.9322916666666665,3.375
secondary,test1_bear,2013,60,1,0,60,0.38333333333333336,0.6101694915254238,0.384180790960452,0.005649717514124294,0.38418079096045205,-0.0008474576271186862,-4.254166666666666,-10.125
secondary,test1_pooled,2013,156,1,96,60,0.5,0.6101694915254238,0.384180790960452,0.005649717514124294,0.5232507605388961,-0.023250760538896076,0.16826923076923078,0.25
secondary,test2_up,2013,97,0,97,0,0.5876288659793815,0.6101694915254238,0.384180790960452,0.005649717514124294,0.6101694915254238,-0.022540625546042303,2.551546391752577,4.5
secondary,test2_down,2013,80,1,0,80,0.35,0.6101694915254238,0.384180790960452,0.005649717514124294,0.384180790960452,-0.03418079096045201,-6.909375,-11.875
secondary,test2_pooled,2013,177,1,97,80,0.480225988700565,0.6101694915254238,0.384180790960452,0.005649717514124294,0.5080277059593349,-0.027801717258769898,-1.7245762711864407,-0.75
