entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split,n,n_elig,trig_rate,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop
imp20_pb10,fixed,10.0,fixed,20.0,,15,Discovery,328,328,1.0,0.3628048780487805,-0.3483231707317073,-0.034832317073170777,0.2896341463414634,0.5457317073170732,0.16463414634146342,10.0
imp20_pb10,fixed,10.0,fixed,20.0,,15,Validation,396,396,1.0,0.3106060606060606,-1.7512626262626263,-0.17512626262626269,0.3055555555555556,0.6893939393939394,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,20.0,,15,OOS,179,179,1.0,0.24022346368715083,-3.793296089385475,-0.3793296089385476,0.24022346368715083,0.7597765363128491,0.0,10.0
imp20_pb10,fixed,10.0,fixed,20.0,,30,Discovery,328,328,1.0,0.36890243902439024,-0.3704268292682927,-0.037042682926829315,0.3048780487804878,0.573170731707317,0.12195121951219512,10.0
imp20_pb10,fixed,10.0,fixed,20.0,,30,Validation,396,396,1.0,0.3106060606060606,-1.7247474747474747,-0.1724747474747475,0.3055555555555556,0.6893939393939394,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,20.0,,30,OOS,179,179,1.0,0.24022346368715083,-3.793296089385475,-0.3793296089385476,0.24022346368715083,0.7597765363128491,0.0,10.0
imp20_pb10,fixed,10.0,fixed,20.0,,60,Discovery,328,328,1.0,0.35060975609756095,-0.5030487804878049,-0.05030487804878055,0.32926829268292684,0.6219512195121951,0.04878048780487805,10.0
imp20_pb10,fixed,10.0,fixed,20.0,,60,Validation,396,396,1.0,0.3106060606060606,-1.6818181818181819,-0.16818181818181824,0.3106060606060606,0.6893939393939394,0.0,10.0
imp20_pb10,fixed,10.0,fixed,20.0,,60,OOS,179,179,1.0,0.24022346368715083,-3.793296089385475,-0.3793296089385476,0.24022346368715083,0.7597765363128491,0.0,10.0
imp20_pb10,fixed,10.0,fixed,25.0,,15,Discovery,328,328,1.0,0.3170731707317073,-0.9588414634146342,-0.09588414634146343,0.21341463414634146,0.5914634146341463,0.1951219512195122,10.0
