setup,dip,target_mode,target,split,n,win,E_net,median,target_hit,stop_hit,time_exit,n_days,n_trig,trig_rate
fade_extent,5.0,opposite,14.0,Discovery,6,0.0,-13.5,-12.875,0.0,0.8333333333333334,0.16666666666666666,6,6,1.0
fade_extent,5.0,opposite,14.0,Validation,1,1.0,13.0,13.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,14.25,Discovery,5,0.6,0.5,5.5,0.4,0.2,0.4,5,5,1.0
fade_extent,5.0,opposite,14.25,Validation,5,0.4,-5.6,-9.5,0.4,0.6,0.0,5,5,1.0
fade_extent,5.0,opposite,14.5,Discovery,3,0.6666666666666666,-1.0,13.5,0.6666666666666666,0.3333333333333333,0.0,3,3,1.0
fade_extent,5.0,opposite,14.5,OOS,3,0.6666666666666666,-1.25,13.5,0.6666666666666666,0.3333333333333333,0.0,3,3,1.0
fade_extent,5.0,opposite,14.5,Validation,5,0.8,7.2,13.5,0.8,0.2,0.0,5,5,1.0
fade_extent,5.0,opposite,14.75,Discovery,5,0.6,5.1,13.75,0.6,0.0,0.4,5,5,1.0
fade_extent,5.0,opposite,14.75,OOS,1,0.0,-9.5,-9.5,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,15.0,Discovery,5,0.4,-1.1,-9.75,0.4,0.6,0.0,5,5,1.0
fade_extent,5.0,opposite,15.0,OOS,1,1.0,14.0,14.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,15.25,Discovery,5,0.8,8.65,14.25,0.8,0.2,0.0,5,5,1.0
fade_extent,5.0,opposite,15.25,Validation,1,0.0,-15.25,-15.25,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,15.5,Discovery,8,0.375,-7.28125,-9.125,0.375,0.5,0.125,8,8,1.0
fade_extent,5.0,opposite,15.5,OOS,2,1.0,14.5,14.5,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,15.5,Validation,3,0.0,-16.666666666666668,-19.0,0.0,1.0,0.0,3,3,1.0
fade_extent,5.0,opposite,15.75,Discovery,3,0.3333333333333333,-2.25,-10.25,0.3333333333333333,0.6666666666666666,0.0,3,3,1.0
fade_extent,5.0,opposite,16.0,Discovery,5,0.4,-2.2,-11.25,0.4,0.6,0.0,5,5,1.0
fade_extent,5.0,opposite,16.0,OOS,2,1.0,15.0,15.0,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,16.25,Discovery,3,0.3333333333333333,-4.166666666666667,-10.0,0.3333333333333333,0.6666666666666666,0.0,3,3,1.0
fade_extent,5.0,opposite,16.5,Discovery,6,0.6666666666666666,7.541666666666667,15.5,0.6666666666666666,0.3333333333333333,0.0,6,6,1.0
fade_extent,5.0,opposite,16.5,Validation,1,1.0,15.5,15.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,16.75,Discovery,5,0.4,-6.7,-3.5,0.4,0.4,0.2,5,5,1.0
fade_extent,5.0,opposite,16.75,OOS,3,0.3333333333333333,-28.75,-10.5,0.3333333333333333,0.6666666666666666,0.0,3,3,1.0
fade_extent,5.0,opposite,17.0,Discovery,4,0.5,0.0625,0.75,0.5,0.5,0.0,4,4,1.0
fade_extent,5.0,opposite,17.0,OOS,1,0.0,-23.25,-23.25,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,17.25,Discovery,3,0.0,-16.416666666666668,-9.5,0.0,1.0,0.0,3,3,1.0
fade_extent,5.0,opposite,17.25,Validation,1,0.0,-9.75,-9.75,0.0,0.0,1.0,1,1,1.0
fade_extent,5.0,opposite,17.5,Discovery,4,0.75,5.0625,9.625,0.5,0.25,0.25,4,4,1.0
fade_extent,5.0,opposite,17.5,OOS,1,1.0,16.5,16.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,17.5,Validation,1,0.0,-14.5,-14.5,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,17.75,Discovery,5,0.4,-9.35,-10.5,0.2,0.6,0.2,5,5,1.0
fade_extent,5.0,opposite,17.75,OOS,2,0.5,-8.25,-8.25,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,17.75,Validation,1,0.0,-22.75,-22.75,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,18.0,Discovery,1,0.0,-11.5,-11.5,0.0,1.0,0.0,1,1,1.0
fade_extent,5.0,opposite,18.0,OOS,2,1.0,17.0,17.0,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,18.0,Validation,1,1.0,17.0,17.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,18.25,Discovery,4,0.5,-0.8125,1.875,0.5,0.5,0.0,4,4,1.0
fade_extent,5.0,opposite,18.25,OOS,5,0.4,-5.9,-9.75,0.4,0.6,0.0,5,5,1.0
fade_extent,5.0,opposite,18.25,Validation,2,1.0,17.25,17.25,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,18.5,Discovery,3,0.0,-17.416666666666668,-17.25,0.0,0.6666666666666666,0.3333333333333333,3,3,1.0
fade_extent,5.0,opposite,18.5,Validation,4,1.0,17.5,17.5,1.0,0.0,0.0,4,4,1.0
fade_extent,5.0,opposite,18.75,OOS,1,1.0,17.75,17.75,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,19.0,Discovery,2,0.0,-37.0,-37.0,0.0,1.0,0.0,2,2,1.0
fade_extent,5.0,opposite,19.0,Validation,2,1.0,18.0,18.0,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,19.25,Discovery,3,0.0,-14.333333333333334,-13.5,0.0,1.0,0.0,3,3,1.0
fade_extent,5.0,opposite,19.25,Validation,4,0.75,3.0625,12.375,0.5,0.25,0.25,4,4,1.0
fade_extent,5.0,opposite,19.5,Discovery,3,0.3333333333333333,-5.333333333333333,-7.75,0.0,0.6666666666666666,0.3333333333333333,3,3,1.0
