entry_style,rev,impulse,pb,dip,target,split,n,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop_dist,n_days,n_trig,trig_rate
reclaim_O,5.0,,,10.0,20.0,Discovery,158,0.569620253164557,1.2104430379746836,-0.011686289012702446,0.44936708860759494,0.310126582278481,0.24050632911392406,22.75,367,158,0.4305177111716621
reclaim_O,5.0,,,10.0,20.0,OOS,73,0.6712328767123288,-4.589041095890411,-0.06907185288562284,0.6575342465753424,0.2876712328767123,0.0547945205479452,55.25,106,73,0.6886792452830188
reclaim_O,5.0,,,10.0,20.0,Validation,194,0.5927835051546392,-2.8092783505154637,-0.061293389932721085,0.5876288659793815,0.36082474226804123,0.05154639175257732,35.375,258,194,0.751937984496124
reclaim_O,5.0,,,10.0,25.0,Discovery,158,0.5316455696202531,0.8370253164556962,-0.0219791797195185,0.3860759493670886,0.34177215189873417,0.2721518987341772,22.75,367,158,0.4305177111716621
reclaim_O,5.0,,,10.0,25.0,OOS,73,0.6438356164383562,-3.914383561643836,-0.03866793613505947,0.6301369863013698,0.3150684931506849,0.0547945205479452,55.25,106,73,0.6886792452830188
reclaim_O,5.0,,,10.0,25.0,Validation,194,0.5103092783505154,-3.911082474226804,-0.11704885697644837,0.5051546391752577,0.422680412371134,0.07216494845360824,35.375,258,194,0.751937984496124
reclaim_O,5.0,,,10.0,30.0,Discovery,158,0.5,0.8481012658227848,-0.013600768376147033,0.3291139240506329,0.35443037974683544,0.31645569620253167,22.75,367,158,0.4305177111716621
reclaim_O,5.0,,,10.0,30.0,OOS,73,0.6027397260273972,-3.5821917808219177,-0.052659020344065395,0.589041095890411,0.3561643835616438,0.0547945205479452,55.25,106,73,0.6886792452830188
reclaim_O,5.0,,,10.0,30.0,Validation,194,0.5,-1.9793814432989691,-0.06522825513721503,0.4896907216494845,0.42783505154639173,0.08247422680412371,35.375,258,194,0.751937984496124
reclaim_O,10.0,,,5.0,20.0,Discovery,138,0.463768115942029,-1.443840579710145,-0.15101886355929803,0.391304347826087,0.4492753623188406,0.15942028985507245,19.875,207,138,0.6666666666666666
reclaim_O,10.0,,,5.0,20.0,OOS,77,0.6233766233766234,-4.503246753246753,-0.12463196627094839,0.6103896103896104,0.35064935064935066,0.03896103896103896,50.0,102,77,0.7549019607843137
reclaim_O,10.0,,,5.0,20.0,Validation,198,0.5757575757575758,-1.6957070707070707,-0.033406787075292925,0.5707070707070707,0.3888888888888889,0.04040404040404041,29.0,227,198,0.8722466960352423
reclaim_O,10.0,,,5.0,25.0,Discovery,138,0.427536231884058,-1.7880434782608696,-0.14249501002439366,0.34057971014492755,0.4782608695652174,0.18115942028985507,19.875,207,138,0.6666666666666666
reclaim_O,10.0,,,5.0,25.0,OOS,77,0.5844155844155844,-5.032467532467533,-0.11014587152338719,0.5714285714285714,0.38961038961038963,0.03896103896103896,50.0,102,77,0.7549019607843137
reclaim_O,10.0,,,5.0,25.0,Validation,198,0.494949494949495,-2.7777777777777777,-0.07904266117954602,0.4898989898989899,0.45454545454545453,0.05555555555555555,29.0,227,198,0.8722466960352423
reclaim_O,10.0,,,5.0,30.0,Discovery,138,0.39855072463768115,-1.9782608695652173,-0.15316929541173305,0.2826086956521739,0.5,0.21739130434782608,19.875,207,138,0.6666666666666666
reclaim_O,10.0,,,5.0,30.0,OOS,77,0.5584415584415584,-4.207792207792208,-0.08720601285730206,0.5454545454545454,0.4155844155844156,0.03896103896103896,50.0,102,77,0.7549019607843137
reclaim_O,10.0,,,5.0,30.0,Validation,198,0.48484848484848486,-0.8674242424242424,-0.01931291640196045,0.47474747474747475,0.4595959595959596,0.06565656565656566,29.0,227,198,0.8722466960352423
reclaim_O,10.0,,,10.0,20.0,Discovery,110,0.5727272727272728,1.2431818181818182,-0.045997090194966284,0.509090909090909,0.34545454545454546,0.14545454545454545,27.625,207,110,0.5314009661835749
