feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
vol_z_tod,OOS,30,mid,65247,1.4822226370499233e-06,7.297405772255239e-05,0.0012382249503103955,0.0015594773458911047,0.5182920287522798
vol_z_tod,OOS,30,high,45593,6.557504240139532e-05,9.130752373986972e-05,0.001930252977375775,0.0024385917402705015,0.5169653236242405
vol_z_tod,OOS,60,low,34746,-3.1524543297540835e-06,8.016835434754288e-05,0.0013388487555369326,0.0017299357678081453,0.5203188856271226
vol_z_tod,OOS,60,mid,59979,1.7169765989944536e-05,0.0001443522194153335,0.0017691367474665977,0.002208055597804101,0.5311525700661899
vol_z_tod,OOS,60,high,42804,9.485192916201562e-05,0.00018198362171517601,0.00262235045369675,0.0033620143904810576,0.5278712269881319
signed_vol_proxy,Discovery,1,low,308019,1.4233146029450661e-05,0.0,0.00029122888363969124,,0.4524526084429857
signed_vol_proxy,Discovery,1,mid,308790,8.984178255828702e-07,0.0,0.0001637883985976512,,0.37748955600893813
signed_vol_proxy,Discovery,1,high,307862,-1.3618657885021854e-05,0.0,0.00028387392539648435,,0.3923381255237736
signed_vol_proxy,Discovery,5,low,304086,2.6439319477499538e-05,0.0,0.0006298184031805526,0.0007850231996831345,0.48944706431733126
signed_vol_proxy,Discovery,5,mid,306931,3.436961243945213e-06,0.0,0.0003471595266602721,0.0004661767047590885,0.44801600359689964
signed_vol_proxy,Discovery,5,high,303858,-2.2929913206692e-05,0.0,0.0006097895049921149,0.0007609457535298213,0.4492197013078477
signed_vol_proxy,Discovery,15,low,294222,3.29676441489538e-05,8.064841337351858e-05,0.0010634965793694664,0.0014022868488615574,0.5056793849542183
signed_vol_proxy,Discovery,15,mid,301764,9.49902486204287e-06,0.0,0.0005961951646660525,0.0008416926438974435,0.4840073699977466
signed_vol_proxy,Discovery,15,high,294492,-1.834614197899373e-05,0.0,0.0010323920686568751,0.0013606700270359354,0.48422028442198767
signed_vol_proxy,Discovery,30,low,280912,4.1948383362441095e-05,0.00011803588290848488,0.0014808666920273206,0.001976778402400269,0.5173363900438571
