feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
vol_accel,Validation,1,low,112551,2.0356170194396788e-06,1.1556551987146335e-05,0.0003986377728191661,,0.5002265639576725
vol_accel,Validation,1,mid,62379,1.8307940047872222e-06,0.0,0.00032684667514542404,,0.4976995463216788
vol_accel,Validation,1,high,121386,-2.1747835025984584e-06,0.0,0.00041388674996106187,,0.4965811543341077
vol_accel,Validation,5,low,111140,2.3735677350288203e-06,2.7043106835766828e-05,0.0008966355885669281,0.0010586835201334874,0.5094385459780457
vol_accel,Validation,5,mid,62011,6.275004274773089e-06,2.7728482697497725e-05,0.0007355628568401094,0.0008794100013111958,0.5127316121333312
vol_accel,Validation,5,high,120069,-2.628742349341461e-06,2.3584627539818825e-05,0.0009186861236684782,0.0010805845443391507,0.5075914682390958
vol_accel,Validation,15,low,108437,6.945331892205989e-06,6.618484102394184e-05,0.0015409152240621503,0.001903742641640558,0.5169176572572093
vol_accel,Validation,15,mid,60663,2.03446268392395e-06,6.298683575134412e-05,0.0012952221815731855,0.0016024447478801245,0.5193280912582628
vol_accel,Validation,15,high,116380,4.216566852929338e-06,6.78667776915498e-05,0.0015691513519362026,0.0019336125283434123,0.5170905653892421
vol_accel,Validation,30,low,104067,1.1154521018437812e-05,0.00011237037274858253,0.0021886474050991688,0.0026927123083443087,0.5202321581288978
vol_accel,Validation,30,mid,57902,1.8565289029803603e-05,0.00010960105620205773,0.0018480565030603,0.0022875541482787784,0.5240924320403441
vol_accel,Validation,30,high,111901,1.2163921503745737e-05,0.0001172175893364713,0.002212111863571421,0.0027286472862059438,0.5209515553927132
vol_accel,Validation,60,low,95532,3.2845653497496956e-05,0.00019351093417285803,0.003053063896334951,0.0037544574093270684,0.5249549889042415
vol_accel,Validation,60,mid,52069,8.019941788442701e-05,0.0002094119015763063,0.0026392186350047554,0.0032636184642727247,0.5340221628992299
vol_accel,Validation,60,high,103049,3.266284094402632e-05,0.00019979022026861415,0.00308454854757219,0.003797229182599635,0.5262933167716329
vol_accel,OOS,1,low,58118,4.101629554422932e-06,9.719589836976184e-06,0.0003556239878291842,,0.5030111153171135
vol_accel,OOS,1,mid,39142,1.0107466352601283e-06,0.0,0.0002813793948059425,,0.49460937100812424
vol_accel,OOS,1,high,60353,-2.4260398133973656e-06,8.648274669287304e-06,0.00037109147302374565,,0.5010024356701407
vol_accel,OOS,5,low,57363,1.0705963760115582e-05,2.3174165440398298e-05,0.0008007538093763039,0.0009458579285657819,0.5105904502902567
vol_accel,OOS,5,mid,38907,-3.9945549866505796e-06,9.662209167426994e-06,0.0006330984645180969,0.0007551028805787148,0.5016320970519443
vol_accel,OOS,5,high,59695,4.570033007044631e-06,1.9996800511901114e-05,0.0008204868277812308,0.0009695397642970722,0.5078649803166094
vol_accel,OOS,15,low,56043,1.8557101153907514e-05,4.3863015801726135e-05,0.0013663071764424756,0.0017009847232752856,0.5130703210035151
vol_accel,OOS,15,mid,38061,-3.0453767510006007e-06,1.9169574052124716e-05,0.0010947943151248794,0.0013769386455581136,0.505504322009406
vol_accel,OOS,15,high,57741,1.5154321259804982e-05,4.962335870750678e-05,0.001403700772859381,0.0017397409131919687,0.5132747960721151
vol_accel,OOS,30,low,53847,1.822992117976979e-05,8.680890466461477e-05,0.001909497652787009,0.002405826555885305,0.5203818225713596
vol_accel,OOS,30,mid,36313,-1.8518219201632945e-06,4.9471887599850106e-05,0.0015349776461677826,0.0019706701531196345,0.51458155481508
vol_accel,OOS,30,high,55505,2.622959862201421e-05,0.00010212881848303823,0.001948618773069942,0.002457802564457682,0.5229438789298262
vol_accel,OOS,60,low,49562,4.430555789331487e-05,0.0001980991486278949,0.0026572255364329957,0.003367581215125752,0.531495904120092
vol_accel,OOS,60,mid,32449,-2.2313877402787254e-05,9.777082518569458e-05,0.0021781709203283653,0.0028214078326602755,0.5211562760023422
vol_accel,OOS,60,high,51294,5.1124308819796836e-05,0.000217556848076228,0.0027003354273627384,0.0034281105908505103,0.5342730143876476
vol_z_tod,Discovery,1,low,308042,8.551644942327889e-07,0.0,0.000202894284384154,,0.44734484258640056
vol_z_tod,Discovery,1,mid,308308,1.5451821761162366e-06,0.0,0.0002666184770080617,,0.4690439430699171
vol_z_tod,Discovery,1,high,308128,-1.1067044795868378e-07,0.0,0.00043027544283866356,,0.4828545279883685
vol_z_tod,Discovery,5,low,304177,4.748315238292837e-06,0.0,0.0004527931399984986,0.0005566813020683944,0.48778507250712577
vol_z_tod,Discovery,5,mid,305530,1.8585886179856128e-06,0.0,0.0005960630778892935,0.0007165012959865211,0.4958531077144634
vol_z_tod,Discovery,5,high,304685,2.543532088247798e-06,1.9036016142504053e-05,0.0009486648957520989,0.0011242594973397545,0.501593448971889
vol_z_tod,Discovery,15,low,294795,1.1480145261896606e-05,5.1031690679881336e-05,0.0007816067336718986,0.00100375443326985,0.5087501484082159
vol_z_tod,Discovery,15,mid,298526,8.968407766700008e-06,5.4694123484577695e-05,0.001026155244305002,0.00129204421302812,0.5113457454292089
vol_z_tod,Discovery,15,high,296294,4.0833560599230284e-06,7.101137959586445e-05,0.0016048907759460464,0.0020077487839333815,0.5139219828953674
vol_z_tod,Discovery,30,low,281496,2.6032017833150603e-05,8.341675022849326e-05,0.0011076131455922576,0.0014261843446814887,0.5193217665615142
vol_z_tod,Discovery,30,mid,287447,2.5063661608805017e-05,0.00010294773686547742,0.0014423675133011062,0.0018331055106636177,0.523132960163091
vol_z_tod,Discovery,30,high,284046,6.810868688388485e-06,0.00012706009413399055,0.0022261062113600985,0.002820015240123427,0.5202784056103589
vol_z_tod,Discovery,60,low,255703,4.3135659060340556e-05,0.00014960355059101538,0.001553805239070716,0.0020125996482327694,0.5315150780397571
vol_z_tod,Discovery,60,mid,263748,4.7023432705254304e-05,0.00018686349621610532,0.0020197095743200197,0.002575841305955681,0.53501448352215
vol_z_tod,Discovery,60,high,260907,1.4313738876410674e-05,0.00023247704289208748,0.0030486141724058043,0.0038959406620435646,0.5300892655237307
vol_z_tod,Validation,1,low,7168,-3.733572825645701e-07,0.0,0.00016656394534645883,,0.484375
vol_z_tod,Validation,1,mid,55962,2.9653974596420372e-06,0.0,0.0002829037087869671,,0.4986240663307244
vol_z_tod,Validation,1,high,233186,-3.600035486774674e-07,0.0,0.0004222797167791382,,0.4985247827914197
vol_z_tod,Validation,5,low,7057,-3.419781546441535e-06,0.0,0.0003740616591679777,0.000455394822909484,0.49539464361626756
vol_z_tod,Validation,5,mid,55563,6.5597614236051125e-06,2.75728958434307e-05,0.0006392614053451938,0.0007673296990359913,0.5131472382700718
vol_z_tod,Validation,5,high,230600,-1.3267487404838086e-08,2.735491636229881e-05,0.000942809007882253,0.0011105421697328397,0.5088985255854294
