resolver,session,T_offset,horizon,universe,split,n,win,E
mom5_follow,ASIA,60,60,HIGH,Y2026,90,0.4222222222222222,-11.705555555555556
mom5_follow,ASIA,90,30,ALL,IS,1605,0.47725856697819313,-0.04501557632398754
mom5_follow,ASIA,90,30,ALL,Validation,750,0.48133333333333334,0.5633333333333334
mom5_follow,ASIA,90,30,ALL,OOS,403,0.4491315136476427,-1.6383374689826302
mom5_follow,ASIA,90,30,ALL,Y2025,251,0.41832669322709165,-3.002988047808765
mom5_follow,ASIA,90,30,ALL,Y2026,152,0.5,0.6151315789473685
mom5_follow,ASIA,90,30,HIGH,IS,559,0.4847942754919499,-0.3492844364937388
mom5_follow,ASIA,90,30,HIGH,Validation,164,0.524390243902439,4.487804878048781
mom5_follow,ASIA,90,30,HIGH,OOS,196,0.42857142857142855,-0.8214285714285714
mom5_follow,ASIA,90,30,HIGH,Y2025,109,0.3577981651376147,-4.871559633027523
mom5_follow,ASIA,90,30,HIGH,Y2026,87,0.5172413793103449,4.252873563218391
mom5_follow,ASIA,90,60,ALL,IS,1605,0.47725856697819313,-0.022741433021806853
mom5_follow,ASIA,90,60,ALL,Validation,750,0.45866666666666667,-0.44433333333333336
mom5_follow,ASIA,90,60,ALL,OOS,403,0.47890818858560796,-2.272332506203474
mom5_follow,ASIA,90,60,ALL,Y2025,251,0.4581673306772908,-6.499003984063745
mom5_follow,ASIA,90,60,ALL,Y2026,152,0.5131578947368421,4.707236842105263
mom5_follow,ASIA,90,60,HIGH,IS,559,0.45796064400715564,-0.6829159212880143
mom5_follow,ASIA,90,60,HIGH,Validation,164,0.4634146341463415,2.004573170731707
mom5_follow,ASIA,90,60,HIGH,OOS,196,0.4744897959183674,-2.4528061224489797
mom5_follow,ASIA,90,60,HIGH,Y2025,109,0.43119266055045874,-7.506880733944954
mom5_follow,ASIA,90,60,HIGH,Y2026,87,0.5287356321839081,3.8793103448275863
mom5_follow,ASIA,120,30,ALL,IS,2049,0.4870668618838458,0.2622010736944851
