resolver,session,T_offset,outcome,universe,split,n,win,E
bar1_follow,NY_AM,15,H30,ALL,Validation,770,0.509090909090909,3.0136363636363637
bar1_follow,NY_AM,15,H30,ALL,OOS,409,0.511002444987775,6.193154034229829
bar1_follow,NY_AM,15,H30,HIGH,IS,785,0.49044585987261147,-0.3302547770700637
bar1_follow,NY_AM,15,H30,HIGH,Validation,219,0.502283105022831,-1.3995433789954337
bar1_follow,NY_AM,15,H30,HIGH,OOS,143,0.5244755244755245,5.286713286713287
bar1_follow,NY_AM,15,H60,ALL,IS,2312,0.5073529411764706,0.23886245674740483
bar1_follow,NY_AM,15,H60,ALL,Validation,770,0.4922077922077922,2.4782467532467534
bar1_follow,NY_AM,15,H60,ALL,OOS,409,0.5256723716381418,2.521393643031785
bar1_follow,NY_AM,15,H60,HIGH,IS,785,0.4878980891719745,0.09267515923566878
bar1_follow,NY_AM,15,H60,HIGH,Validation,219,0.502283105022831,-1.4121004566210045
bar1_follow,NY_AM,15,H60,HIGH,OOS,143,0.4965034965034965,-4.064685314685315
bar1_follow,NY_AM,15,SESS_END,ALL,IS,2312,0.4978373702422145,0.21972318339100347
bar1_follow,NY_AM,15,SESS_END,ALL,Validation,770,0.509090909090909,0.6782467532467532
bar1_follow,NY_AM,15,SESS_END,ALL,OOS,409,0.5452322738386308,1.4272616136919316
bar1_follow,NY_AM,15,SESS_END,HIGH,IS,785,0.4802547770700637,-1.080891719745223
bar1_follow,NY_AM,15,SESS_END,HIGH,Validation,219,0.502283105022831,-4.038812785388128
bar1_follow,NY_AM,15,SESS_END,HIGH,OOS,143,0.5244755244755245,-9.396853146853147
bar1_follow,NY_AM,30,H30,ALL,IS,2323,0.4881618596642273,-0.36450710288420146
bar1_follow,NY_AM,30,H30,ALL,Validation,762,0.484251968503937,-3.604658792650919
bar1_follow,NY_AM,30,H30,ALL,OOS,407,0.5307125307125307,2.73034398034398
bar1_follow,NY_AM,30,H30,HIGH,IS,785,0.513375796178344,0.49363057324840764
bar1_follow,NY_AM,30,H30,HIGH,Validation,210,0.5190476190476191,-0.7547619047619047
bar1_follow,NY_AM,30,H30,HIGH,OOS,146,0.5068493150684932,-0.05821917808219178
bar1_follow,NY_AM,30,H60,ALL,IS,2323,0.4877313818338356,-0.3974386569091692
bar1_follow,NY_AM,30,H60,ALL,Validation,762,0.49868766404199477,-1.8090551181102361
bar1_follow,NY_AM,30,H60,ALL,OOS,407,0.5552825552825553,7.108722358722359
bar1_follow,NY_AM,30,H60,HIGH,IS,785,0.49936305732484076,0.7321656050955414
bar1_follow,NY_AM,30,H60,HIGH,Validation,210,0.49047619047619045,-0.09047619047619047
bar1_follow,NY_AM,30,H60,HIGH,OOS,146,0.5068493150684932,-3.5051369863013697
bar1_follow,NY_AM,30,SESS_END,ALL,IS,2323,0.501506672406371,-0.375053809728799
bar1_follow,NY_AM,30,SESS_END,ALL,Validation,762,0.49343832020997375,-2.6076115485564304
bar1_follow,NY_AM,30,SESS_END,ALL,OOS,407,0.5307125307125307,4.351351351351352
bar1_follow,NY_AM,30,SESS_END,HIGH,IS,785,0.5082802547770701,0.9175159235668789
bar1_follow,NY_AM,30,SESS_END,HIGH,Validation,210,0.4857142857142857,-4.194047619047619
bar1_follow,NY_AM,30,SESS_END,HIGH,OOS,146,0.5273972602739726,-5.092465753424658
bar1_follow,NY_AM,60,H30,ALL,IS,2248,0.48798932384341637,0.33641014234875444
bar1_follow,NY_AM,60,H30,ALL,Validation,759,0.5046113306982872,1.6874176548089592
bar1_follow,NY_AM,60,H30,ALL,OOS,410,0.5219512195121951,3.290243902439024
bar1_follow,NY_AM,60,H30,HIGH,IS,775,0.5058064516129033,0.7429032258064516
bar1_follow,NY_AM,60,H30,HIGH,Validation,235,0.4851063829787234,0.11702127659574468
bar1_follow,NY_AM,60,H30,HIGH,OOS,151,0.609271523178808,19.001655629139073
bar1_follow,NY_AM,60,H60,ALL,IS,2248,0.5093416370106761,0.9741992882562278
bar1_follow,NY_AM,60,H60,ALL,Validation,759,0.5270092226613966,4.372200263504611
bar1_follow,NY_AM,60,H60,ALL,OOS,410,0.526829268292683,3.917682926829268
bar1_follow,NY_AM,60,H60,HIGH,IS,775,0.5096774193548387,1.1416129032258064
bar1_follow,NY_AM,60,H60,HIGH,Validation,235,0.5234042553191489,1.9840425531914894
bar1_follow,NY_AM,60,H60,HIGH,OOS,151,0.6158940397350994,18.637417218543046
bar1_follow,NY_AM,60,SESS_END,ALL,IS,2248,0.5048932384341637,1.451067615658363
bar1_follow,NY_AM,60,SESS_END,ALL,Validation,759,0.5230566534914362,4.546113306982872
bar1_follow,NY_AM,60,SESS_END,ALL,OOS,410,0.4975609756097561,0.5969512195121951
bar1_follow,NY_AM,60,SESS_END,HIGH,IS,775,0.512258064516129,1.4496774193548387
bar1_follow,NY_AM,60,SESS_END,HIGH,Validation,235,0.5106382978723404,2.7180851063829787
bar1_follow,NY_AM,60,SESS_END,HIGH,OOS,151,0.5629139072847682,16.879139072847682
bar1_follow,ASIA,15,H30,ALL,IS,1550,0.4754838709677419,-0.2361290322580645
bar1_follow,ASIA,15,H30,ALL,Validation,730,0.5027397260273972,0.36027397260273974
bar1_follow,ASIA,15,H30,ALL,OOS,401,0.4613466334164589,1.428927680798005
bar1_follow,ASIA,15,H30,HIGH,IS,589,0.4685908319185059,-0.3225806451612903
bar1_follow,ASIA,15,H30,HIGH,Validation,209,0.46411483253588515,0.11602870813397129
bar1_follow,ASIA,15,H30,HIGH,OOS,220,0.4681818181818182,1.871590909090909
bar1_follow,ASIA,15,H60,ALL,IS,1550,0.48129032258064514,0.12838709677419355
bar1_follow,ASIA,15,H60,ALL,Validation,730,0.4986301369863014,0.6623287671232877
bar1_follow,ASIA,15,H60,ALL,OOS,401,0.4937655860349127,2.4987531172069826
bar1_follow,ASIA,15,H60,HIGH,IS,589,0.4923599320882852,0.8030560271646859
bar1_follow,ASIA,15,H60,HIGH,Validation,209,0.49760765550239233,1.173444976076555
bar1_follow,ASIA,15,H60,HIGH,OOS,220,0.5136363636363637,3.721590909090909
bar1_follow,ASIA,15,SESS_END,ALL,IS,1550,0.49290322580645163,1.028225806451613
bar1_follow,ASIA,15,SESS_END,ALL,Validation,730,0.5,0.7777397260273973
bar1_follow,ASIA,15,SESS_END,ALL,OOS,401,0.4837905236907731,-7.969451371571072
bar1_follow,ASIA,15,SESS_END,HIGH,IS,589,0.5025466893039049,2.7966893039049237
bar1_follow,ASIA,15,SESS_END,HIGH,Validation,209,0.4784688995215311,3.0023923444976077
bar1_follow,ASIA,15,SESS_END,HIGH,OOS,220,0.4772727272727273,-9.676136363636363
bar1_follow,ASIA,30,H30,ALL,IS,1521,0.504930966469428,0.21120973044049968
bar1_follow,ASIA,30,H30,ALL,Validation,726,0.5055096418732782,0.856404958677686
bar1_follow,ASIA,30,H30,ALL,OOS,400,0.4725,-0.60625
bar1_follow,ASIA,30,H30,HIGH,IS,564,0.48936170212765956,-0.19414893617021275
bar1_follow,ASIA,30,H30,HIGH,Validation,197,0.47715736040609136,2.0901015228426396
bar1_follow,ASIA,30,H30,HIGH,OOS,219,0.4703196347031963,0.4463470319634703
bar1_follow,ASIA,30,H60,ALL,IS,1521,0.4878369493754109,0.13625904010519396
bar1_follow,ASIA,30,H60,ALL,Validation,726,0.5151515151515151,0.3116391184573003
bar1_follow,ASIA,30,H60,ALL,OOS,400,0.46,-0.690625
bar1_follow,ASIA,30,H60,HIGH,IS,564,0.4734042553191489,-0.14671985815602837
bar1_follow,ASIA,30,H60,HIGH,Validation,197,0.4873096446700508,1.9289340101522843
bar1_follow,ASIA,30,H60,HIGH,OOS,219,0.4292237442922374,-1.9155251141552512
