session,resolver,T_offset,horizon,universe,split,n,win,E,E_net
ASIA,follow_es,90,30,ALL,IS,1705,0.48035190615835777,0.08255131964809384,-0.9174486803519062
ASIA,follow_es,90,30,ALL,Validation,757,0.5059445178335535,1.2869881109643329,0.2869881109643329
ASIA,follow_es,90,30,ALL,OOS,404,0.4876237623762376,0.8459158415841584,-0.15408415841584158
ASIA,follow_es,90,30,ALL,Y2025,250,0.484,1.492,0.492
ASIA,follow_es,90,30,ALL,Y2026,154,0.4935064935064935,-0.20292207792207792,-1.202922077922078
ASIA,follow_es,90,30,HIGH,IS,592,0.47635135135135137,0.24028716216216217,-0.7597128378378378
ASIA,follow_es,90,30,HIGH,Validation,167,0.49101796407185627,4.654191616766467,3.654191616766467
ASIA,follow_es,90,30,HIGH,OOS,201,0.5074626865671642,1.708955223880597,0.7089552238805971
ASIA,follow_es,90,30,HIGH,Y2025,112,0.5446428571428571,3.2566964285714284,2.2566964285714284
ASIA,follow_es,90,30,HIGH,Y2026,89,0.4606741573033708,-0.23876404494382023,-1.2387640449438202
ASIA,follow_es,90,30,LOW,IS,545,0.4935779816513762,0.31146788990825686,-0.6885321100917431
ASIA,follow_es,90,30,LOW,Validation,358,0.5307262569832403,1.1152234636871508,0.11522346368715083
ASIA,follow_es,90,30,LOW,OOS,68,0.5588235294117647,4.944852941176471,3.9448529411764706
ASIA,follow_es,90,30,LOW,Y2025,43,0.5116279069767442,1.377906976744186,0.37790697674418605
ASIA,follow_es,90,30,LOW,Y2026,25,0.64,11.08,10.08
ASIA,follow_es,120,15,ALL,IS,2114,0.4791863765373699,-0.10371333964049195,-1.103713339640492
ASIA,follow_es,120,15,ALL,Validation,763,0.4849279161205767,-0.08486238532110092,-1.084862385321101
ASIA,follow_es,120,15,ALL,OOS,406,0.5172413793103449,0.2857142857142857,-0.7142857142857143
ASIA,follow_es,120,15,ALL,Y2025,251,0.4820717131474104,-1.4422310756972112,-2.442231075697211
ASIA,follow_es,120,15,ALL,Y2026,155,0.5741935483870968,3.0838709677419356,2.0838709677419356
ASIA,follow_es,120,15,HIGH,IS,739,0.4844384303112314,-0.4059539918809202,-1.40595399188092
ASIA,follow_es,120,15,HIGH,Validation,171,0.4327485380116959,-1.618421052631579,-2.6184210526315788
ASIA,follow_es,120,15,HIGH,OOS,194,0.5051546391752577,-2.4304123711340204,-3.4304123711340204
ASIA,follow_es,120,15,HIGH,Y2025,106,0.44339622641509435,-4.830188679245283,-5.830188679245283
ASIA,follow_es,120,15,HIGH,Y2026,88,0.5795454545454546,0.4602272727272727,-0.5397727272727273
ASIA,follow_es,120,15,LOW,IS,685,0.4642335766423358,0.172992700729927,-0.827007299270073
ASIA,follow_es,120,15,LOW,Validation,367,0.5013623978201635,0.5912806539509536,-0.4087193460490463
ASIA,follow_es,120,15,LOW,OOS,74,0.47297297297297297,1.2162162162162162,0.21621621621621623
ASIA,follow_es,120,15,LOW,Y2025,47,0.425531914893617,-3.2872340425531914,-4.287234042553192
ASIA,follow_es,120,15,LOW,Y2026,27,0.5555555555555556,9.055555555555555,8.055555555555555
ASIA,follow_es,120,30,ALL,IS,2114,0.4768211920529801,-0.29280983916745507,-1.292809839167455
ASIA,follow_es,120,30,ALL,Validation,763,0.4836173001310616,-0.4996723460026212,-1.4996723460026213
ASIA,follow_es,120,30,ALL,OOS,406,0.5246305418719212,-0.5972906403940886,-1.5972906403940887
ASIA,follow_es,120,30,ALL,Y2025,251,0.4900398406374502,-1.9113545816733069,-2.9113545816733066
ASIA,follow_es,120,30,ALL,Y2026,155,0.5806451612903226,1.5306451612903227,0.5306451612903226
ASIA,follow_es,120,30,HIGH,IS,739,0.4776725304465494,-0.4793640054127199,-1.47936400541272
ASIA,follow_es,120,30,HIGH,Validation,171,0.4678362573099415,-1.3421052631578947,-2.3421052631578947
ASIA,follow_es,120,30,HIGH,OOS,194,0.4690721649484536,-5.123711340206185,-6.123711340206185
ASIA,follow_es,120,30,HIGH,Y2025,106,0.4339622641509434,-5.839622641509434,-6.839622641509434
ASIA,follow_es,120,30,HIGH,Y2026,88,0.5113636363636364,-4.261363636363637,-5.261363636363637
ASIA,follow_es,120,30,LOW,IS,685,0.47737226277372263,-0.09014598540145985,-1.09014598540146
ASIA,follow_es,120,30,LOW,Validation,367,0.5013623978201635,-0.5415531335149864,-1.5415531335149864
ASIA,follow_es,120,30,LOW,OOS,74,0.5945945945945946,0.47297297297297297,-0.527027027027027
ASIA,follow_es,120,30,LOW,Y2025,47,0.574468085106383,-1.7340425531914894,-2.734042553191489
ASIA,follow_es,120,30,LOW,Y2026,27,0.6296296296296297,4.314814814814815,3.314814814814815
ASIA,follow_es,180,15,ALL,IS,2036,0.4675834970530452,0.049238703339882124,-0.9507612966601179
ASIA,follow_es,180,15,ALL,Validation,758,0.46174142480211083,0.0649736147757256,-0.9350263852242744
ASIA,follow_es,180,15,ALL,OOS,406,0.5147783251231527,1.2684729064039408,0.2684729064039409
ASIA,follow_es,180,15,ALL,Y2025,253,0.4980237154150198,0.35079051383399207,-0.6492094861660079
ASIA,follow_es,180,15,ALL,Y2026,153,0.5424836601307189,2.7859477124183005,1.7859477124183007
ASIA,follow_es,180,15,HIGH,IS,703,0.4822190611664296,0.062233285917496446,-0.9377667140825036
ASIA,follow_es,180,15,HIGH,Validation,166,0.42771084337349397,0.03765060240963856,-0.9623493975903614
ASIA,follow_es,180,15,HIGH,OOS,198,0.5404040404040404,2.246212121212121,1.246212121212121
ASIA,follow_es,180,15,HIGH,Y2025,104,0.5192307692307693,0.3605769230769231,-0.6394230769230769
ASIA,follow_es,180,15,HIGH,Y2026,94,0.5638297872340425,4.332446808510638,3.3324468085106385
ASIA,follow_es,180,15,LOW,IS,656,0.41615853658536583,-0.34603658536585363,-1.3460365853658536
ASIA,follow_es,180,15,LOW,Validation,362,0.47790055248618785,-0.04143646408839779,-1.0414364640883977
ASIA,follow_es,180,15,LOW,OOS,81,0.5432098765432098,5.234567901234568,4.234567901234568
ASIA,follow_es,180,15,LOW,Y2025,57,0.5614035087719298,4.587719298245614,3.587719298245614
ASIA,follow_es,180,15,LOW,Y2026,24,0.5,6.770833333333333,5.770833333333333
ASIA,follow_es,180,30,ALL,IS,2036,0.47986247544204325,0.09172396856581533,-0.9082760314341847
ASIA,follow_es,180,30,ALL,Validation,758,0.47493403693931396,0.20349604221635884,-0.7965039577836411
ASIA,follow_es,180,30,ALL,OOS,406,0.5,1.168103448275862,0.16810344827586207
ASIA,follow_es,180,30,ALL,Y2025,253,0.45849802371541504,-0.7796442687747036,-1.7796442687747036
ASIA,follow_es,180,30,ALL,Y2026,153,0.5686274509803921,4.388888888888889,3.388888888888889
ASIA,follow_es,180,30,HIGH,IS,703,0.5035561877667141,0.4896870554765292,-0.5103129445234709
ASIA,follow_es,180,30,HIGH,Validation,166,0.42168674698795183,0.23343373493975902,-0.766566265060241
ASIA,follow_es,180,30,HIGH,OOS,198,0.5606060606060606,2.66540404040404,1.6654040404040404
ASIA,follow_es,180,30,HIGH,Y2025,104,0.5192307692307693,-1.3485576923076923,-2.3485576923076925
ASIA,follow_es,180,30,HIGH,Y2026,94,0.6063829787234043,7.1063829787234045,6.1063829787234045
ASIA,follow_es,180,30,LOW,IS,656,0.4557926829268293,-0.4809451219512195,-1.4809451219512195
ASIA,follow_es,180,30,LOW,Validation,362,0.48342541436464087,-0.19267955801104972,-1.1926795580110496
ASIA,follow_es,180,30,LOW,OOS,81,0.43209876543209874,3.0987654320987654,2.0987654320987654
ASIA,follow_es,180,30,LOW,Y2025,57,0.42105263157894735,2.754385964912281,1.7543859649122806
ASIA,follow_es,180,30,LOW,Y2026,24,0.4583333333333333,3.9166666666666665,2.9166666666666665
ASIA,rs_continue,15,15,ALL,IS,2176,0.4650735294117647,-0.28917738970588236,-1.2891773897058822
