run,n_trades,total_pnl_nq,expectancy_r,expectancy_usd
65,400,-20254.250000000327,-0.18032533898439693,-50.63562500000082
66,400,-25991.75000000013,-0.1845861476656047,-64.97937500000033
67,400,-10471.250000000045,-0.04422762243837416,-26.178125000000115
68,400,-20690.499999999985,-0.10032046475566281,-51.726249999999965
69,400,-24255.500000000036,-0.12115311318437692,-60.638750000000094
70,400,-3407.999999999838,-0.03374036395678912,-8.519999999999595
71,400,-11605.749999999944,-0.16906130909185457,-29.01437499999986
72,400,-1937.7499999998508,-0.17748464605414216,-4.844374999999627
73,400,-12788.99999999985,-0.016018747250144134,-31.972499999999627
74,400,-945.2499999999509,0.02010852058239582,-2.363124999999877
75,400,-9215.000000000055,-0.157089339699655,-23.037500000000136
76,400,-2277.74999999976,-0.028232453087220843,-5.6943749999993996
77,400,-21015.249999999956,-0.18679922302850005,-52.538124999999894
78,400,-7072.749999999787,-0.07427639495906174,-17.68187499999947
79,400,4352.000000000116,-0.08973679428778567,10.88000000000029
80,400,-3573.0000000001473,-0.10387895688627584,-8.932500000000369
81,400,26864.000000000415,0.08504638071733296,67.16000000000103
82,400,-13995.250000000033,-0.18269816039504122,-34.98812500000008
83,400,-14643.999999999614,-0.11618361427463181,-36.60999999999903
84,400,-6741.749999999829,-0.047496732585065954,-16.85437499999957
85,400,-4017.0000000001437,-0.001313384614915949,-10.04250000000036
86,400,-13696.500000000015,-0.18949416862251683,-34.241250000000036
87,400,-5299.2499999998745,-0.04508684467817679,-13.248124999999686
88,400,-5724.000000000015,-0.029318412784174786,-14.310000000000036
89,400,15594.000000000142,0.07905064480161589,38.985000000000355
90,400,-1857.2499999997399,-0.05145923089906525,-4.643124999999349
91,400,-34023.50000000026,-0.1617225192492691,-85.05875000000066
92,400,-237.99999999981083,-0.09573665739804813,-0.594999999999527
93,400,-18167.499999999927,-0.0965387115957215,-45.41874999999982
94,400,-3201.2499999997544,-0.09613304597583056,-8.003124999999386
95,400,-21421.749999999694,-0.12717936146772388,-53.55437499999923
96,400,1251.9999999999072,-0.10324870903297838,3.129999999999768
97,400,-18721.750000000204,-0.07035555219647606,-46.80437500000051
98,400,-7477.25000000024,-0.07101270208643182,-18.6931250000006
99,400,12991.999999999982,-0.02296791478425539,32.479999999999954
100,400,-6769.750000000095,-0.07282730758018469,-16.924375000000236
101,400,24306.49999999954,0.0017165352908163722,60.766249999998855
102,400,-15574.50000000044,-0.10910254951559951,-38.9362500000011
103,400,-16145.750000000005,-0.12006436831556773,-40.36437500000002
104,400,-3771.25000000045,-0.10381877682666321,-9.428125000001126
105,400,-6211.250000000073,-0.07601353814761885,-15.528125000000182
106,400,3478.499999999922,-0.13629286963668827,8.696249999999804
107,400,-22906.749999999978,-0.10113163920857189,-57.26687499999994
108,400,-2818.249999999902,-0.13004032793764242,-7.045624999999754
109,400,13836.750000000422,-0.11759103162912803,34.59187500000105
110,400,-13174.00000000026,-0.11529356757590295,-32.93500000000065
111,400,-5145.250000000069,-0.06083325284677001,-12.863125000000172
112,400,-6741.250000000005,-0.1283516443949952,-16.853125000000013
113,400,-20936.99999999978,-0.17425771927191125,-52.342499999999454
114,400,-15053.99999999975,-0.015949591385183624,-37.63499999999938
115,400,-11115.250000000036,-0.020030817136765293,-27.78812500000009
116,400,3310.0000000000364,0.0221564733400632,8.275000000000091
117,400,4414.750000000349,-0.046607904347631166,11.036875000000872
118,400,21600.750000000324,-0.0023517389035351056,54.00187500000081
119,400,-16757.00000000029,-0.10188211214393467,-41.89250000000073
120,400,-5538.499999999594,-0.09406756145180785,-13.846249999998985
121,400,5154.750000000067,-0.0666703139870682,12.886875000000169
122,400,-5206.2500000001,-0.06530706019429902,-13.01562500000025
123,400,-12284.249999999989,-0.07113211134069916,-30.710624999999972
124,400,-7406.499999999919,-0.08530935900325083,-18.516249999999797
125,400,-13147.500000000045,-0.14918370372327372,-32.86875000000011
126,400,-3520.99999999974,-0.026164815931412802,-8.80249999999935
127,400,279.00000000018736,-0.11352163919743553,0.6975000000004684
128,400,-10592.4999999999,-0.18455718969059773,-26.48124999999975
129,400,-15531.250000000106,-0.07156196266006605,-38.82812500000026
130,400,-6462.250000000022,-0.17586315447680134,-16.155625000000054
131,400,3262.99999999992,0.011357013836123394,8.1574999999998
132,400,9808.74999999989,-0.05546220990412192,24.521874999999728
