session_date,variant,sl_mode,tp_mode,bias,daily_fvg_state,h7_state,entry_ts,entry_price,sl,tp,tp_used,exit_ts,exit_price,exit_reason,r_mult,pnl_pts,pnl_nq,pnl_mnq,risk_pts,weekday,entry_hour,grid_key
2013-08-13,D,B,liquidity,1,confirmed,no_cont,2013-08-13 09:14:00-04:00,3129.75,3127.75,3130.75,liquidity,2013-08-13 09:25:00-04:00,3127.5,SL,-1.25,-2.5,-55.0,-10.0,2.0,1,9,D_SLB_TPliquidity
2013-09-04,D,B,liquidity,-1,confirmed,no_cont,2013-09-04 08:49:00-04:00,3090.0,3094.25,3089.75,liquidity,2013-09-04 08:50:00-04:00,3090.0,TP,-0.058823529411764705,-0.25,-10.0,-5.5,4.25,2,8,D_SLB_TPliquidity
2013-09-27,D,B,liquidity,1,confirmed,no_cont,2013-09-27 09:09:00-04:00,3214.0,3212.75,3215.0,liquidity,2013-09-27 09:11:00-04:00,3214.75,TP,0.4,0.5,5.0,-4.0,1.25,4,9,D_SLB_TPliquidity
2013-10-04,D,B,liquidity,-1,no_fvg,no_cont,2013-10-04 08:34:00-04:00,3209.5,3211.25,3208.625,liquidity,2013-10-04 08:35:00-04:00,3208.875,TP,0.21428571428571427,0.375,2.5,-4.25,1.75,4,8,D_SLB_TPliquidity
2013-11-01,D,B,liquidity,1,confirmed,no_cont,2013-11-01 08:34:00-04:00,3381.0,3377.75,3383.0,liquidity,2013-11-01 09:28:00-04:00,3382.75,TP,0.46153846153846156,1.5,25.0,-2.0,3.25,4,8,D_SLB_TPliquidity
2013-12-02,D,B,liquidity,1,untested,no_cont,2013-12-02 10:19:00-05:00,3489.25,3482.5,3491.25,liquidity,2013-12-02 10:21:00-05:00,3491.0,TP,0.2222222222222222,1.5,25.0,-2.0,6.75,0,10,D_SLB_TPliquidity
2013-12-13,D,B,liquidity,-1,untested,no_cont,2013-12-13 08:34:00-05:00,3467.75,3471.25,3466.25,liquidity,2013-12-13 08:37:00-05:00,3466.5,TP,0.2857142857142857,1.0,15.0,-3.0,3.5,4,8,D_SLB_TPliquidity
2014-01-13,D,B,liquidity,1,confirmed,no_cont,2014-01-13 10:14:00-05:00,3563.25,3556.25,3563.5,liquidity,2014-01-13 10:15:00-05:00,3563.25,TP,-0.03571428571428571,-0.25,-10.0,-5.5,7.0,0,10,D_SLB_TPliquidity
2014-03-14,D,B,liquidity,-1,no_fvg,cont_match,2014-03-14 08:59:00-04:00,3644.25,3646.75,3643.75,liquidity,2014-03-14 09:04:00-04:00,3647.0,SL,-1.2,-3.0,-65.0,-11.0,2.5,4,8,D_SLB_TPliquidity
2014-03-19,D,B,liquidity,1,untested,cont_match,2014-03-19 09:19:00-04:00,3700.5,3699.25,3702.25,liquidity,2014-03-19 09:23:00-04:00,3699.0,SL,-1.4,-1.75,-40.0,-8.5,1.25,2,9,D_SLB_TPliquidity
