sample,side,length,start_date,end_date
All,bull,1,2015-12-01,2015-12-01
All,bear,2,2015-12-02,2015-12-03
All,bull,1,2015-12-04,2015-12-04
All,bear,3,2015-12-07,2015-12-09
All,bull,1,2015-12-10,2015-12-10
All,bear,1,2015-12-11,2015-12-11
All,bull,3,2015-12-14,2015-12-16
All,bear,2,2015-12-17,2015-12-18
All,bull,5,2015-12-21,2015-12-29
All,bear,7,2015-12-30,2016-01-08
All,bull,2,2016-01-11,2016-01-12
All,bear,1,2016-01-13,2016-01-13
All,bull,1,2016-01-14,2016-01-14
All,bear,1,2016-01-15,2016-01-15
All,bull,1,2016-01-19,2016-01-19
All,bear,2,2016-01-20,2016-01-21
All,bull,1,2016-01-22,2016-01-22
All,bear,1,2016-01-25,2016-01-25
All,bull,1,2016-01-26,2016-01-26
All,bear,2,2016-01-27,2016-01-28
All,bull,2,2016-01-29,2016-02-01
All,bear,6,2016-02-02,2016-02-09
All,bull,1,2016-02-10,2016-02-10
All,bear,1,2016-02-11,2016-02-11
All,bull,3,2016-02-12,2016-02-17
All,bear,1,2016-02-18,2016-02-18
All,bull,2,2016-02-19,2016-02-22
All,bear,1,2016-02-23,2016-02-23
All,bull,2,2016-02-24,2016-02-25
All,bear,2,2016-02-26,2016-02-29
All,bull,1,2016-03-01,2016-03-01
All,bear,5,2016-03-02,2016-03-08
All,bull,1,2016-03-09,2016-03-09
All,bear,1,2016-03-10,2016-03-10
All,bull,8,2016-03-11,2016-03-22
All,bear,1,2016-03-23,2016-03-23
All,bull,1,2016-03-24,2016-03-24
All,bear,1,2016-03-28,2016-03-28
All,bull,2,2016-03-29,2016-03-30
All,bear,1,2016-03-31,2016-03-31
All,bull,1,2016-04-01,2016-04-01
All,bear,2,2016-04-04,2016-04-05
All,bull,1,2016-04-06,2016-04-06
All,bear,1,2016-04-07,2016-04-07
All,bull,1,2016-04-08,2016-04-08
All,bear,1,2016-04-11,2016-04-11
All,bull,3,2016-04-12,2016-04-14
All,bear,1,2016-04-15,2016-04-15
All,bull,1,2016-04-18,2016-04-18
All,bear,1,2016-04-19,2016-04-19
All,bull,1,2016-04-20,2016-04-20
All,bear,4,2016-04-21,2016-04-26
All,bull,1,2016-04-27,2016-04-27
All,bear,2,2016-04-28,2016-04-29
All,bull,1,2016-05-02,2016-05-02
All,bear,3,2016-05-03,2016-05-05
All,bull,3,2016-05-06,2016-05-10
All,bear,3,2016-05-11,2016-05-13
All,bull,1,2016-05-16,2016-05-16
All,bear,1,2016-05-17,2016-05-17
All,bull,1,2016-05-18,2016-05-18
All,bear,1,2016-05-19,2016-05-19
All,bull,1,2016-05-20,2016-05-20
All,bear,1,2016-05-23,2016-05-23
All,bull,5,2016-05-24,2016-05-31
All,bull,1,2016-06-02,2016-06-02
All,bear,1,2016-06-03,2016-06-03
All,bull,1,2016-06-06,2016-06-06
All,bear,1,2016-06-07,2016-06-07
All,bull,1,2016-06-08,2016-06-08
All,bear,3,2016-06-09,2016-06-13
All,bull,1,2016-06-14,2016-06-14
All,bear,1,2016-06-15,2016-06-15
All,bull,1,2016-06-16,2016-06-16
All,bear,1,2016-06-17,2016-06-17
All,bull,1,2016-06-20,2016-06-20
All,bear,2,2016-06-21,2016-06-22
All,bull,1,2016-06-23,2016-06-23
All,bear,2,2016-06-24,2016-06-27
All,bull,4,2016-06-28,2016-07-01
All,bear,1,2016-07-05,2016-07-05
All,bull,5,2016-07-06,2016-07-12
All,bear,1,2016-07-13,2016-07-13
All,bull,1,2016-07-14,2016-07-14
All,bear,1,2016-07-15,2016-07-15
All,bull,1,2016-07-18,2016-07-18
All,bear,1,2016-07-19,2016-07-19
All,bull,1,2016-07-20,2016-07-20
All,bear,1,2016-07-21,2016-07-21
All,bull,1,2016-07-22,2016-07-22
All,bear,1,2016-07-25,2016-07-25
All,bull,3,2016-07-26,2016-07-28
All,bear,1,2016-07-29,2016-07-29
All,bull,1,2016-08-01,2016-08-01
All,bear,1,2016-08-02,2016-08-02
All,bull,3,2016-08-03,2016-08-05
All,bear,1,2016-08-08,2016-08-08
All,bull,1,2016-08-09,2016-08-09
All,bear,1,2016-08-10,2016-08-10
All,bull,3,2016-08-11,2016-08-15
All,bear,1,2016-08-16,2016-08-16
All,bull,1,2016-08-17,2016-08-17
All,bear,1,2016-08-18,2016-08-18
All,bull,3,2016-08-19,2016-08-23
All,bear,3,2016-08-24,2016-08-26
All,bull,1,2016-08-29,2016-08-29
All,bear,2,2016-08-30,2016-08-31
All,bull,3,2016-09-01,2016-09-06
All,bear,3,2016-09-07,2016-09-09
All,bull,1,2016-09-12,2016-09-12
All,bear,1,2016-09-13,2016-09-13
All,bull,3,2016-09-14,2016-09-16
All,bear,1,2016-09-19,2016-09-19
All,bull,3,2016-09-20,2016-09-22
All,bear,2,2016-09-23,2016-09-26
All,bull,2,2016-09-27,2016-09-28
All,bear,1,2016-09-29,2016-09-29
All,bull,2,2016-09-30,2016-10-03
All,bear,1,2016-10-04,2016-10-04
All,bull,1,2016-10-05,2016-10-05
All,bear,2,2016-10-06,2016-10-07
All,bull,1,2016-10-10,2016-10-10
All,bear,3,2016-10-11,2016-10-13
All,bull,1,2016-10-14,2016-10-14
All,bear,1,2016-10-17,2016-10-17
All,bull,5,2016-10-18,2016-10-24
All,bear,4,2016-10-25,2016-10-28
All,bull,1,2016-10-31,2016-10-31
All,bear,4,2016-11-01,2016-11-04
All,bull,3,2016-11-07,2016-11-09
All,bear,1,2016-11-10,2016-11-10
All,bull,1,2016-11-11,2016-11-11
All,bear,1,2016-11-14,2016-11-14
All,bull,3,2016-11-15,2016-11-17
All,bear,1,2016-11-18,2016-11-18
All,bull,2,2016-11-21,2016-11-22
All,bear,2,2016-11-23,2016-11-28
All,bull,1,2016-11-29,2016-11-29
All,bear,3,2016-11-30,2016-12-02
All,bull,5,2016-12-05,2016-12-09
All,bear,1,2016-12-12,2016-12-12
All,bull,1,2016-12-13,2016-12-13
All,bear,1,2016-12-14,2016-12-14
All,bull,1,2016-12-15,2016-12-15
All,bear,1,2016-12-16,2016-12-16
All,bull,2,2016-12-19,2016-12-20
All,bear,2,2016-12-21,2016-12-22
All,bull,2,2016-12-23,2016-12-27
All,bear,3,2016-12-28,2016-12-30
All,bull,7,2017-01-03,2017-01-11
All,bear,1,2017-01-12,2017-01-12
All,bull,1,2017-01-13,2017-01-13
All,bear,1,2017-01-17,2017-01-17
All,bull,6,2017-01-18,2017-01-25
All,bear,1,2017-01-26,2017-01-26
All,bull,1,2017-01-27,2017-01-27
All,bear,1,2017-01-30,2017-01-30
All,bull,2,2017-01-31,2017-02-01
All,bear,1,2017-02-02,2017-02-02
All,bull,9,2017-02-03,2017-02-15
All,bear,1,2017-02-16,2017-02-16
All,bull,3,2017-02-17,2017-02-22
All,bear,1,2017-02-23,2017-02-23
All,bull,2,2017-02-24,2017-02-27
All,bear,1,2017-02-28,2017-02-28
All,bull,1,2017-03-01,2017-03-01
All,bear,1,2017-03-02,2017-03-02
All,bull,1,2017-03-03,2017-03-03
All,bear,2,2017-03-06,2017-03-07
All,bull,4,2017-03-08,2017-03-13
All,bear,1,2017-03-14,2017-03-14
All,bull,1,2017-03-15,2017-03-15
All,bear,2,2017-03-16,2017-03-17
All,bull,1,2017-03-20,2017-03-20
All,bear,1,2017-03-21,2017-03-21
All,bull,1,2017-03-22,2017-03-22
All,bear,1,2017-03-23,2017-03-23
All,bull,5,2017-03-24,2017-03-30
All,bear,2,2017-03-31,2017-04-03
All,bull,1,2017-04-04,2017-04-04
All,bear,1,2017-04-05,2017-04-05
All,bull,1,2017-04-06,2017-04-06
All,bear,1,2017-04-07,2017-04-07
All,bull,1,2017-04-10,2017-04-10
All,bear,3,2017-04-11,2017-04-13
All,bull,1,2017-04-17,2017-04-17
All,bear,1,2017-04-18,2017-04-18
All,bull,2,2017-04-19,2017-04-20
All,bear,1,2017-04-21,2017-04-21
All,bull,2,2017-04-24,2017-04-25
All,bear,1,2017-04-26,2017-04-26
All,bull,1,2017-04-27,2017-04-27
All,bear,1,2017-04-28,2017-04-28
All,bull,1,2017-05-01,2017-05-01
All,bear,2,2017-05-02,2017-05-03
All,bull,2,2017-05-04,2017-05-05
All,bear,1,2017-05-08,2017-05-08
All,bull,1,2017-05-09,2017-05-09
All,bear,2,2017-05-10,2017-05-11
All,bull,3,2017-05-12,2017-05-16
All,bear,1,2017-05-17,2017-05-17
All,bull,7,2017-05-18,2017-05-26
All,bear,1,2017-05-30,2017-05-30
All,bull,4,2017-05-31,2017-06-05
All,bear,1,2017-06-06,2017-06-06
All,bull,2,2017-06-07,2017-06-08
All,bear,2,2017-06-09,2017-06-12
All,bull,1,2017-06-13,2017-06-13
All,bear,3,2017-06-14,2017-06-16
All,bull,1,2017-06-19,2017-06-19
All,bear,1,2017-06-20,2017-06-20
All,bull,1,2017-06-21,2017-06-21
All,bear,1,2017-06-22,2017-06-22
All,bull,1,2017-06-23,2017-06-23
All,bear,2,2017-06-26,2017-06-27
All,bull,1,2017-06-28,2017-06-28
All,bear,1,2017-06-29,2017-06-29
All,bull,2,2017-06-30,2017-07-05
All,bear,1,2017-07-06,2017-07-06
All,bull,10,2017-07-07,2017-07-20
All,bear,1,2017-07-21,2017-07-21
All,bull,3,2017-07-24,2017-07-26
All,bear,1,2017-07-27,2017-07-27
All,bull,1,2017-07-28,2017-07-28
All,bear,1,2017-07-31,2017-07-31
All,bull,1,2017-08-01,2017-08-01
All,bear,2,2017-08-02,2017-08-03
All,bull,2,2017-08-04,2017-08-07
