market,signal_time,year,split,side,horizon_min,level,entry,signed_return_pts,mfe_pts,mae_pts,close_beyond_level,failed_through_level
NQ,2022-02-27 18:14:00-05:00,2022,Validation,short,5,14036.75,13820.75,22.0,27.75,-5.25,1,0
NQ,2022-02-27 18:14:00-05:00,2022,Validation,short,15,14036.75,13820.75,0.5,35.75,-7.75,1,0
NQ,2022-02-27 18:14:00-05:00,2022,Validation,short,30,14036.75,13820.75,-31.75,35.75,-71.75,1,0
NQ,2022-02-27 18:14:00-05:00,2022,Validation,short,60,14036.75,13820.75,-10.5,35.75,-71.75,1,0
NQ,2022-02-28 02:44:00-05:00,2022,Validation,long,1,13933.5,13991.0,13.5,15.5,-4.25,1,0
NQ,2022-02-28 02:44:00-05:00,2022,Validation,long,5,13933.5,13991.0,8.5,29.0,-4.25,1,0
NQ,2022-02-28 02:44:00-05:00,2022,Validation,long,15,13933.5,13991.0,-2.5,29.0,-16.0,1,0
NQ,2022-02-28 02:44:00-05:00,2022,Validation,long,30,13933.5,13991.0,-32.25,29.0,-45.0,1,0
NQ,2022-02-28 02:44:00-05:00,2022,Validation,long,60,13933.5,13991.0,-58.75,29.0,-70.75,0,1
NQ,2022-02-28 18:44:00-05:00,2022,Validation,long,1,14240.0,14250.75,-4.0,0.0,-5.5,1,0
NQ,2022-02-28 18:44:00-05:00,2022,Validation,long,5,14240.0,14250.75,-3.25,1.75,-5.5,1,0
NQ,2022-02-28 18:44:00-05:00,2022,Validation,long,15,14240.0,14250.75,5.5,19.75,-5.5,1,0
NQ,2022-02-28 18:44:00-05:00,2022,Validation,long,30,14240.0,14250.75,-5.25,19.75,-15.5,1,1
NQ,2022-02-28 18:44:00-05:00,2022,Validation,long,60,14240.0,14250.75,-14.75,19.75,-19.5,0,1
NQ,2022-03-01 04:14:00-05:00,2022,Validation,short,1,14168.5,14160.5,-6.5,3.0,-10.0,1,0
NQ,2022-03-01 04:14:00-05:00,2022,Validation,short,5,14168.5,14160.5,-5.5,3.0,-16.25,1,1
NQ,2022-03-01 04:14:00-05:00,2022,Validation,short,15,14168.5,14160.5,24.75,33.5,-16.25,1,1
NQ,2022-03-01 04:14:00-05:00,2022,Validation,short,30,14168.5,14160.5,36.75,42.5,-16.25,1,1
NQ,2022-03-01 04:14:00-05:00,2022,Validation,short,60,14168.5,14160.5,61.75,75.75,-16.25,1,1
NQ,2022-03-01 23:59:00-05:00,2022,Validation,long,1,14067.0,14068.0,-2.5,2.0,-5.0,0,1
NQ,2022-03-01 23:59:00-05:00,2022,Validation,long,5,14067.0,14068.0,-3.5,2.0,-7.0,0,1
NQ,2022-03-01 23:59:00-05:00,2022,Validation,long,15,14067.0,14068.0,-5.25,2.0,-7.0,0,1
NQ,2022-03-01 23:59:00-05:00,2022,Validation,long,30,14067.0,14068.0,17.0,22.0,-9.0,1,1
NQ,2022-03-01 23:59:00-05:00,2022,Validation,long,60,14067.0,14068.0,-1.0,27.0,-9.0,0,1
NQ,2022-03-02 02:14:00-05:00,2022,Validation,short,1,13972.25,13936.5,1.0,1.5,-16.0,1,0
NQ,2022-03-02 02:14:00-05:00,2022,Validation,short,5,13972.25,13936.5,14.5,21.0,-16.0,1,0
NQ,2022-03-02 02:14:00-05:00,2022,Validation,short,15,13972.25,13936.5,-3.5,25.0,-16.0,1,0
NQ,2022-03-02 02:14:00-05:00,2022,Validation,short,30,13972.25,13936.5,-24.5,25.0,-30.25,1,0
NQ,2022-03-02 02:14:00-05:00,2022,Validation,short,60,13972.25,13936.5,-56.75,25.0,-63.0,0,1
NQ,2022-03-03 01:14:00-05:00,2022,Validation,long,1,14248.25,14249.25,0.25,3.75,-0.5,1,0
NQ,2022-03-03 01:14:00-05:00,2022,Validation,long,5,14248.25,14249.25,-2.0,3.75,-7.25,0,1
NQ,2022-03-03 01:14:00-05:00,2022,Validation,long,15,14248.25,14249.25,-14.5,3.75,-16.25,0,1
NQ,2022-03-03 01:14:00-05:00,2022,Validation,long,30,14248.25,14249.25,-16.0,3.75,-19.5,0,1
NQ,2022-03-03 01:14:00-05:00,2022,Validation,long,60,14248.25,14249.25,-21.5,3.75,-29.0,0,1
NQ,2022-03-03 03:44:00-05:00,2022,Validation,short,1,14189.0,14180.75,1.75,3.75,-2.0,1,0
NQ,2022-03-03 03:44:00-05:00,2022,Validation,short,5,14189.0,14180.75,1.0,12.0,-2.5,1,0
NQ,2022-03-03 03:44:00-05:00,2022,Validation,short,15,14189.0,14180.75,-7.25,12.0,-10.25,1,0
NQ,2022-03-03 03:44:00-05:00,2022,Validation,short,30,14189.0,14180.75,-16.25,20.75,-20.25,0,1
NQ,2022-03-03 03:44:00-05:00,2022,Validation,short,60,14189.0,14180.75,-16.25,20.75,-40.75,0,1
NQ,2022-03-03 19:44:00-05:00,2022,Validation,short,1,13946.25,13829.75,-16.25,16.5,-16.25,1,0
NQ,2022-03-03 19:44:00-05:00,2022,Validation,short,5,13946.25,13829.75,-25.0,16.5,-27.75,1,0
NQ,2022-03-03 19:44:00-05:00,2022,Validation,short,15,13946.25,13829.75,22.25,62.0,-32.25,1,0
NQ,2022-03-03 19:44:00-05:00,2022,Validation,short,30,13946.25,13829.75,30.5,84.5,-32.25,1,0
NQ,2022-03-03 19:44:00-05:00,2022,Validation,short,60,13946.25,13829.75,-55.75,84.5,-83.75,1,0
NQ,2022-03-04 01:14:00-05:00,2022,Validation,long,1,13952.75,13974.5,8.5,11.75,-0.5,1,0
NQ,2022-03-04 01:14:00-05:00,2022,Validation,long,5,13952.75,13974.5,-1.75,11.75,-4.5,1,0
NQ,2022-03-04 01:14:00-05:00,2022,Validation,long,15,13952.75,13974.5,-1.0,11.75,-13.25,1,0
NQ,2022-03-04 01:14:00-05:00,2022,Validation,long,30,13952.75,13974.5,-17.5,11.75,-26.0,1,1
NQ,2022-03-04 01:14:00-05:00,2022,Validation,long,60,13952.75,13974.5,-9.0,24.5,-31.25,1,1
NQ,2022-03-06 18:14:00-05:00,2022,Validation,short,1,13741.75,13667.5,14.25,14.75,-11.75,1,0
NQ,2022-03-06 18:14:00-05:00,2022,Validation,short,5,13741.75,13667.5,22.5,26.25,-11.75,1,0
NQ,2022-03-06 18:14:00-05:00,2022,Validation,short,15,13741.75,13667.5,75.75,91.75,-11.75,1,0
NQ,2022-03-06 18:14:00-05:00,2022,Validation,short,30,13741.75,13667.5,63.75,91.75,-11.75,1,0
NQ,2022-03-06 18:14:00-05:00,2022,Validation,short,60,13741.75,13667.5,60.25,104.5,-11.75,1,0
NQ,2022-03-07 00:29:00-05:00,2022,Validation,long,1,13631.75,13632.5,-3.25,1.0,-6.75,0,1
NQ,2022-03-07 00:29:00-05:00,2022,Validation,long,5,13631.75,13632.5,-24.25,1.0,-30.5,0,1
NQ,2022-03-07 00:29:00-05:00,2022,Validation,long,15,13631.75,13632.5,-33.75,1.0,-39.75,0,1
NQ,2022-03-07 00:29:00-05:00,2022,Validation,long,30,13631.75,13632.5,-31.0,1.0,-39.75,0,1
NQ,2022-03-07 00:29:00-05:00,2022,Validation,long,60,13631.75,13632.5,-25.75,1.0,-59.0,0,1
NQ,2022-03-08 00:29:00-05:00,2022,Validation,short,1,13261.0,13232.0,-10.0,0.75,-10.0,1,0
NQ,2022-03-08 00:29:00-05:00,2022,Validation,short,5,13261.0,13232.0,-7.25,0.75,-15.25,1,0
NQ,2022-03-08 00:29:00-05:00,2022,Validation,short,15,13261.0,13232.0,23.25,28.0,-15.25,1,0
NQ,2022-03-08 00:29:00-05:00,2022,Validation,short,30,13261.0,13232.0,27.5,30.5,-15.25,1,0
NQ,2022-03-08 00:29:00-05:00,2022,Validation,short,60,13261.0,13232.0,101.0,128.75,-15.25,1,0
NQ,2022-03-08 03:29:00-05:00,2022,Validation,long,1,13318.25,13356.5,-11.25,3.5,-13.75,1,0
NQ,2022-03-08 03:29:00-05:00,2022,Validation,long,5,13318.25,13356.5,-10.75,6.0,-14.5,1,0
NQ,2022-03-08 03:29:00-05:00,2022,Validation,long,15,13318.25,13356.5,-26.0,17.5,-27.75,1,0
NQ,2022-03-08 03:29:00-05:00,2022,Validation,long,30,13318.25,13356.5,-43.75,17.5,-65.25,0,1
NQ,2022-03-08 03:29:00-05:00,2022,Validation,long,60,13318.25,13356.5,-12.25,22.75,-65.25,1,1
NQ,2022-03-09 02:29:00-05:00,2022,Validation,long,1,13353.75,13415.25,-5.0,11.25,-10.75,1,0
NQ,2022-03-09 02:29:00-05:00,2022,Validation,long,5,13353.75,13415.25,-7.5,11.25,-21.25,1,0
NQ,2022-03-09 02:29:00-05:00,2022,Validation,long,15,13353.75,13415.25,-3.25,14.75,-21.25,1,0
NQ,2022-03-09 02:29:00-05:00,2022,Validation,long,30,13353.75,13415.25,9.25,22.75,-21.25,1,0
NQ,2022-03-09 02:29:00-05:00,2022,Validation,long,60,13353.75,13415.25,-49.0,22.75,-58.75,1,0
NQ,2022-03-09 23:44:00-05:00,2022,Validation,short,1,13702.25,13673.5,-7.5,-0.0,-7.5,1,0
NQ,2022-03-09 23:44:00-05:00,2022,Validation,short,5,13702.25,13673.5,-3.25,-0.0,-8.5,1,0
NQ,2022-03-09 23:44:00-05:00,2022,Validation,short,15,13702.25,13673.5,-10.25,-0.0,-10.5,1,0
NQ,2022-03-09 23:44:00-05:00,2022,Validation,short,30,13702.25,13673.5,3.25,4.0,-16.25,1,0
NQ,2022-03-09 23:44:00-05:00,2022,Validation,short,60,13702.25,13673.5,-24.5,4.25,-30.5,1,0
NQ,2022-03-10 14:59:00-05:00,2022,Validation,long,1,13618.75,13619.25,-14.0,6.75,-17.75,0,1
NQ,2022-03-10 14:59:00-05:00,2022,Validation,long,5,13618.75,13619.25,-40.5,6.75,-45.75,0,1
NQ,2022-03-10 14:59:00-05:00,2022,Validation,long,15,13618.75,13619.25,-25.25,6.75,-67.75,0,1
NQ,2022-03-10 14:59:00-05:00,2022,Validation,long,30,13618.75,13619.25,-34.75,6.75,-67.75,0,1
NQ,2022-03-10 14:59:00-05:00,2022,Validation,long,60,13618.75,13619.25,-28.0,11.75,-68.25,0,1
NQ,2022-03-10 20:29:00-05:00,2022,Validation,short,1,13521.0,13512.75,1.5,8.0,-0.0,1,0
NQ,2022-03-10 20:29:00-05:00,2022,Validation,short,5,13521.0,13512.75,1.0,10.75,-3.0,1,0
NQ,2022-03-10 20:29:00-05:00,2022,Validation,short,15,13521.0,13512.75,-14.75,10.75,-16.0,0,1
NQ,2022-03-10 20:29:00-05:00,2022,Validation,short,30,13521.0,13512.75,4.5,10.75,-19.25,1,1
NQ,2022-03-10 20:29:00-05:00,2022,Validation,short,60,13521.0,13512.75,-2.75,11.5,-26.0,1,1
NQ,2022-03-11 01:14:00-05:00,2022,Validation,long,1,13567.25,13575.0,-3.25,0.0,-3.25,1,0
NQ,2022-03-11 01:14:00-05:00,2022,Validation,long,5,13567.25,13575.0,18.0,24.5,-4.25,1,0
NQ,2022-03-11 01:14:00-05:00,2022,Validation,long,15,13567.25,13575.0,11.75,24.5,-4.25,1,0
NQ,2022-03-11 01:14:00-05:00,2022,Validation,long,30,13567.25,13575.0,15.0,24.5,-8.5,1,0
NQ,2022-03-11 01:14:00-05:00,2022,Validation,long,60,13567.25,13575.0,69.75,87.0,-8.5,1,0
NQ,2022-03-13 22:44:00-04:00,2022,Validation,short,1,13301.75,13300.75,-0.5,0.25,-1.5,1,0
NQ,2022-03-13 22:44:00-04:00,2022,Validation,short,5,13301.75,13300.75,-0.5,7.5,-3.75,1,0
NQ,2022-03-13 22:44:00-04:00,2022,Validation,short,15,13301.75,13300.75,-4.75,7.5,-16.25,0,1
NQ,2022-03-13 22:44:00-04:00,2022,Validation,short,30,13301.75,13300.75,8.75,18.25,-16.25,1,1
NQ,2022-03-13 22:44:00-04:00,2022,Validation,short,60,13301.75,13300.75,-2.0,18.25,-26.5,0,1
NQ,2022-03-14 05:59:00-04:00,2022,Validation,long,1,13402.5,13408.5,-2.25,1.5,-3.75,1,0
NQ,2022-03-14 05:59:00-04:00,2022,Validation,long,5,13402.5,13408.5,-4.0,1.5,-11.5,1,1
NQ,2022-03-14 05:59:00-04:00,2022,Validation,long,15,13402.5,13408.5,-22.0,1.5,-40.25,0,1
NQ,2022-03-14 05:59:00-04:00,2022,Validation,long,30,13402.5,13408.5,-22.0,1.5,-40.25,0,1
NQ,2022-03-14 05:59:00-04:00,2022,Validation,long,60,13402.5,13408.5,-25.5,1.5,-53.0,0,1
NQ,2022-03-14 22:44:00-04:00,2022,Validation,long,1,13116.0,13119.75,1.75,4.25,0.0,1,0
NQ,2022-03-14 22:44:00-04:00,2022,Validation,long,5,13116.0,13119.75,2.25,14.25,-1.0,1,0
NQ,2022-03-14 22:44:00-04:00,2022,Validation,long,15,13116.0,13119.75,-5.75,14.25,-11.75,0,1
NQ,2022-03-14 22:44:00-04:00,2022,Validation,long,30,13116.0,13119.75,-5.5,14.25,-12.75,0,1
NQ,2022-03-14 22:44:00-04:00,2022,Validation,long,60,13116.0,13119.75,-8.5,14.25,-17.25,0,1
NQ,2022-03-15 03:14:00-04:00,2022,Validation,short,1,13051.0,12966.0,-7.0,1.5,-9.0,1,0
NQ,2022-03-15 03:14:00-04:00,2022,Validation,short,5,13051.0,12966.0,-19.75,1.5,-23.5,1,0
NQ,2022-03-15 03:14:00-04:00,2022,Validation,short,15,13051.0,12966.0,-12.25,1.5,-39.75,1,0
NQ,2022-03-15 03:14:00-04:00,2022,Validation,short,30,13051.0,12966.0,-22.0,1.5,-39.75,1,0
NQ,2022-03-15 03:14:00-04:00,2022,Validation,short,60,13051.0,12966.0,-58.75,1.5,-116.0,1,1
NQ,2022-03-16 01:29:00-04:00,2022,Validation,long,1,13479.0,13501.25,-9.75,0.0,-14.5,1,0
NQ,2022-03-16 01:29:00-04:00,2022,Validation,long,5,13479.0,13501.25,12.0,12.75,-15.25,1,0
NQ,2022-03-16 01:29:00-04:00,2022,Validation,long,15,13479.0,13501.25,40.75,41.25,-15.25,1,0
NQ,2022-03-16 01:29:00-04:00,2022,Validation,long,30,13479.0,13501.25,58.0,93.75,-15.25,1,0
NQ,2022-03-16 01:29:00-04:00,2022,Validation,long,60,13479.0,13501.25,63.0,93.75,-15.25,1,0
NQ,2022-03-16 14:14:00-04:00,2022,Validation,short,1,13612.25,13526.75,-25.5,6.5,-31.75,1,0
NQ,2022-03-16 14:14:00-04:00,2022,Validation,short,5,13612.25,13526.75,-64.5,6.5,-67.5,1,0
NQ,2022-03-16 14:14:00-04:00,2022,Validation,short,15,13612.25,13526.75,-4.75,6.5,-78.25,1,0
NQ,2022-03-16 14:14:00-04:00,2022,Validation,short,30,13612.25,13526.75,-143.75,63.75,-156.5,0,1
NQ,2022-03-16 14:14:00-04:00,2022,Validation,short,60,13612.25,13526.75,-253.0,63.75,-269.25,0,1
NQ,2022-03-17 02:59:00-04:00,2022,Validation,long,1,13990.5,13998.5,3.75,4.75,0.0,1,0
NQ,2022-03-17 02:59:00-04:00,2022,Validation,long,5,13990.5,13998.5,-0.5,4.75,-16.5,1,1
NQ,2022-03-17 02:59:00-04:00,2022,Validation,long,15,13990.5,13998.5,10.25,23.75,-16.5,1,1
NQ,2022-03-17 02:59:00-04:00,2022,Validation,long,30,13990.5,13998.5,-29.25,23.75,-32.0,0,1
NQ,2022-03-17 02:59:00-04:00,2022,Validation,long,60,13990.5,13998.5,-27.5,23.75,-73.0,0,1
NQ,2022-03-17 05:14:00-04:00,2022,Validation,short,1,13917.0,13913.0,6.25,7.5,-7.25,1,0
NQ,2022-03-17 05:14:00-04:00,2022,Validation,short,5,13917.0,13913.0,8.25,10.5,-8.5,1,0
NQ,2022-03-17 05:14:00-04:00,2022,Validation,short,15,13917.0,13913.0,-11.5,18.75,-19.25,0,1
NQ,2022-03-17 05:14:00-04:00,2022,Validation,short,30,13917.0,13913.0,5.0,18.75,-19.25,1,1
NQ,2022-03-17 05:14:00-04:00,2022,Validation,short,60,13917.0,13913.0,56.5,75.75,-19.25,1,1
NQ,2022-03-17 20:44:00-04:00,2022,Validation,short,1,14006.0,13994.75,0.75,2.25,-2.5,1,0
NQ,2022-03-17 20:44:00-04:00,2022,Validation,short,5,14006.0,13994.75,6.0,12.5,-2.5,1,0
NQ,2022-03-17 20:44:00-04:00,2022,Validation,short,15,14006.0,13994.75,9.5,14.25,-2.5,1,0
NQ,2022-03-17 20:44:00-04:00,2022,Validation,short,30,14006.0,13994.75,7.5,28.25,-2.5,1,0
NQ,2022-03-17 20:44:00-04:00,2022,Validation,short,60,14006.0,13994.75,16.5,28.25,-2.5,1,0
NQ,2022-03-18 02:14:00-04:00,2022,Validation,long,1,14004.0,14033.75,-0.75,1.5,-1.25,1,0
NQ,2022-03-18 02:14:00-04:00,2022,Validation,long,5,14004.0,14033.75,5.0,6.25,-5.5,1,0
NQ,2022-03-18 02:14:00-04:00,2022,Validation,long,15,14004.0,14033.75,7.5,14.0,-5.5,1,0
NQ,2022-03-18 02:14:00-04:00,2022,Validation,long,30,14004.0,14033.75,-3.25,28.25,-5.75,1,0
NQ,2022-03-18 02:14:00-04:00,2022,Validation,long,60,14004.0,14033.75,-22.25,28.25,-24.75,1,0
NQ,2022-03-20 21:44:00-04:00,2022,Validation,short,1,14368.75,14358.5,1.0,1.25,-1.75,1,0
NQ,2022-03-20 21:44:00-04:00,2022,Validation,short,5,14368.75,14358.5,-2.25,3.5,-5.5,1,0
NQ,2022-03-20 21:44:00-04:00,2022,Validation,short,15,14368.75,14358.5,10.0,10.5,-5.5,1,0
NQ,2022-03-20 21:44:00-04:00,2022,Validation,short,30,14368.75,14358.5,-8.5,17.5,-9.25,1,0
NQ,2022-03-20 21:44:00-04:00,2022,Validation,short,60,14368.75,14358.5,-20.5,17.5,-20.75,0,1
NQ,2022-03-21 07:14:00-04:00,2022,Validation,long,1,14384.25,14402.25,-3.25,2.75,-3.75,1,0
NQ,2022-03-21 07:14:00-04:00,2022,Validation,long,5,14384.25,14402.25,14.5,14.75,-7.5,1,0
NQ,2022-03-21 07:14:00-04:00,2022,Validation,long,15,14384.25,14402.25,13.5,22.25,-7.5,1,0
NQ,2022-03-21 07:14:00-04:00,2022,Validation,long,30,14384.25,14402.25,8.25,26.25,-7.5,1,0
NQ,2022-03-21 07:14:00-04:00,2022,Validation,long,60,14384.25,14402.25,-0.25,26.25,-11.0,1,0
