market,split,event_type,band,horizon_min,events,mean_fade_return_pts,median_fade_return_pts,p10_fade_return_pts,p90_fade_return_pts,positive_rate,mfe_pts,mae_pts,time_to_recover_min,fraction_below_60,max_recovery_60_pts
ES,IS,control,<0.5,15,2900,-0.05353448275862069,0.0,-1.5,1.25,0.44517241379310346,1.1175,-1.2225862068965516,1.0970303867403315,0.03408620689655172,14.23853448275862
ES,IS,control,<0.5,30,2900,-0.07844827586206897,0.0,-2.0,1.75,0.45655172413793105,1.726896551724138,-1.869655172413793,1.0970303867403315,0.03408620689655172,14.23853448275862
ES,IS,control,<0.5,60,2900,-0.019913793103448277,0.0,-3.0,3.25,0.47793103448275864,2.8055172413793104,-3.010258620689655,1.0970303867403315,0.03408620689655172,14.23853448275862
ES,OOS,break,0.5-1.0,1,110,0.02727272727272727,-0.25,-1.25,1.7750000000000021,0.4090909090909091,1.0886363636363636,-0.9613636363636363,13.037037037037036,0.6451515151515151,4.965909090909091
ES,OOS,break,0.5-1.0,5,110,0.031818181818181815,0.0,-3.275,3.0,0.45454545454545453,2.0545454545454547,-2.1159090909090907,13.037037037037036,0.6451515151515151,4.965909090909091
ES,OOS,break,0.5-1.0,15,110,0.15227272727272728,-0.125,-4.025,4.025000000000002,0.4636363636363636,3.7590909090909093,-3.3727272727272726,13.037037037037036,0.6451515151515151,4.965909090909091
ES,OOS,break,0.5-1.0,30,110,0.6409090909090909,0.25,-5.775,7.275000000000002,0.5363636363636364,5.086363636363636,-4.7727272727272725,13.037037037037036,0.6451515151515151,4.965909090909091
ES,OOS,break,0.5-1.0,60,110,0.5136363636363637,0.0,-9.325,12.050000000000004,0.4818181818181818,7.286363636363636,-7.084090909090909,13.037037037037036,0.6451515151515151,4.965909090909091
ES,OOS,break,1.0-1.5,1,94,0.3776595744680851,0.0,-1.9249999999999998,2.0,0.4787234042553192,1.6835106382978724,-1.297872340425532,12.166666666666666,0.6418439716312057,4.531914893617022
ES,OOS,break,1.0-1.5,5,94,0.1595744680851064,0.25,-4.699999999999999,3.75,0.5106382978723404,3.018617021276596,-2.824468085106383,12.166666666666666,0.6418439716312057,4.531914893617022
ES,OOS,break,1.0-1.5,15,94,0.5718085106382979,0.75,-7.0249999999999995,6.950000000000003,0.5319148936170213,4.795212765957447,-4.781914893617022,12.166666666666666,0.6418439716312057,4.531914893617022
ES,OOS,break,1.0-1.5,30,94,0.824468085106383,1.0,-7.75,9.350000000000001,0.5531914893617021,6.507978723404255,-6.210106382978723,12.166666666666666,0.6418439716312057,4.531914893617022
ES,OOS,break,1.0-1.5,60,94,0.21808510638297873,0.75,-15.25,11.5,0.5319148936170213,8.287234042553191,-8.659574468085106,12.166666666666666,0.6418439716312057,4.531914893617022
ES,OOS,break,1.5+,1,123,-0.2784552845528455,-0.25,-3.5,2.4499999999999993,0.45528455284552843,1.853658536585366,-2.3780487804878048,17.246153846153845,0.7600271002710027,0.5284552845528455
ES,OOS,break,1.5+,5,123,-0.09146341463414634,-0.5,-4.949999999999999,6.099999999999998,0.42276422764227645,3.589430894308943,-4.416666666666667,17.246153846153845,0.7600271002710027,0.5284552845528455
ES,OOS,break,1.5+,15,123,1.4227642276422765,0.75,-6.749999999999998,9.75,0.5772357723577236,6.0426829268292686,-5.819105691056911,17.246153846153845,0.7600271002710027,0.5284552845528455
ES,OOS,break,1.5+,30,123,1.2784552845528456,0.5,-8.95,11.649999999999999,0.5203252032520326,8.160569105691057,-7.6971544715447155,17.246153846153845,0.7600271002710027,0.5284552845528455
ES,OOS,break,1.5+,60,123,-0.14634146341463414,0.0,-18.299999999999997,16.4,0.4878048780487805,10.548780487804878,-11.768292682926829,17.246153846153845,0.7600271002710027,0.5284552845528455
ES,OOS,break,<0.5,1,66,-0.17424242424242425,0.0,-2.125,1.375,0.3939393939393939,0.8068181818181818,-1.0303030303030303,12.25531914893617,0.6353535353535353,1.553030303030303
ES,OOS,break,<0.5,5,66,-0.5037878787878788,0.25,-5.5,2.375,0.5151515151515151,1.5833333333333333,-2.3295454545454546,12.25531914893617,0.6353535353535353,1.553030303030303
ES,OOS,break,<0.5,15,66,-0.015151515151515152,0.5,-5.375,3.5,0.5909090909090909,2.928030303030303,-3.477272727272727,12.25531914893617,0.6353535353535353,1.553030303030303
ES,OOS,break,<0.5,30,66,0.8371212121212122,0.25,-4.875,7.875,0.5606060606060606,4.446969696969697,-4.321969696969697,12.25531914893617,0.6353535353535353,1.553030303030303
