session,family,entry_mode,hold_H,cost,cost_pts,split,n,win,E_gross,E_net,E_R_net,PF_net
LONDON,HIGH_FADE,delay1,15,wide,2.0,Y2025,273,0.46153846153846156,-0.045558608058608056,-2.045558608058608,-0.08285807019984237,0.7758854218922444
LONDON,HIGH_FADE,delay1,15,wide,2.0,Y2026,103,0.46601941747572817,-1.6316747572815533,-3.6316747572815533,-0.14172389296708504,0.7341181697023546
LONDON,HIGH_FADE,delay1,30,tight,0.5,IS,4055,0.4808877928483354,-0.21373304562268805,-0.713733045622688,-0.31721468694341687,0.749255460856193
LONDON,HIGH_FADE,delay1,30,tight,0.5,Validation,1616,0.5,0.06752784653465346,-0.4324721534653465,-0.026613670982482865,0.9398396728896541
LONDON,HIGH_FADE,delay1,30,tight,0.5,OOS,376,0.5,-0.8304521276595744,-1.3304521276595744,-0.05389173175329922,0.887367547106089
LONDON,HIGH_FADE,delay1,30,tight,0.5,Y2025,273,0.5164835164835165,-0.40224358974358976,-0.9022435897435898,-0.03654657578708211,0.9154437006522486
LONDON,HIGH_FADE,delay1,30,tight,0.5,Y2026,103,0.4563106796116505,-1.9654126213592233,-2.4654126213592233,-0.09621122424816479,0.8338581067266407
LONDON,HIGH_FADE,delay1,30,mid,1.0,IS,4055,0.45400739827373615,-0.21373304562268805,-1.213733045622688,-0.5394369091656391,0.60973832887303
LONDON,HIGH_FADE,delay1,30,mid,1.0,Validation,1616,0.4969059405940594,0.06752784653465346,-0.9324721534653465,-0.057382901751713636,0.8746581823096998
LONDON,HIGH_FADE,delay1,30,mid,1.0,OOS,376,0.4946808510638298,-0.8304521276595744,-1.8304521276595744,-0.07414489631026125,0.8482673096796417
LONDON,HIGH_FADE,delay1,30,mid,1.0,Y2025,273,0.5091575091575091,-0.40224358974358976,-1.4022435897435896,-0.056799740344044135,0.8715178721261957
LONDON,HIGH_FADE,delay1,30,mid,1.0,Y2026,103,0.4563106796116505,-1.9654126213592233,-2.9654126213592233,-0.11572341937011603,0.8037585833032165
LONDON,HIGH_FADE,delay1,30,wide,2.0,IS,4055,0.35363748458692973,-0.21373304562268805,-2.2137330456226882,-0.9838813536100836,0.40097510927229657
LONDON,HIGH_FADE,delay1,30,wide,2.0,Validation,1616,0.4839108910891089,0.06752784653465346,-1.9324721534653466,-0.11892136329017516,0.7569014002276951
LONDON,HIGH_FADE,delay1,30,wide,2.0,OOS,376,0.4920212765957447,-0.8304521276595744,-2.8304521276595747,-0.11465122542418531,0.7748065859948423
LONDON,HIGH_FADE,delay1,30,wide,2.0,Y2025,273,0.5054945054945055,-0.40224358974358976,-2.40224358974359,-0.09730606945796819,0.7893648626947165
LONDON,HIGH_FADE,delay1,30,wide,2.0,Y2026,103,0.4563106796116505,-1.9654126213592233,-3.9654126213592233,-0.15474780961401843,0.7466956083569131
LONDON,HIGH_FADE,delay1,45,tight,0.5,IS,4055,0.49593094944512944,-0.2587392108508015,-0.7587392108508014,-0.3372174270448006,0.7589381467026429
LONDON,HIGH_FADE,delay1,45,tight,0.5,Validation,1616,0.5024752475247525,0.16522277227722773,-0.3347772277227723,-0.020601675552170597,0.9576636766475266
