mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_mfe,mean_mae,mfe_gt_mae,n_high,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long,follow_win,follow_mean,long_win
structure_hhhl,45,10,IS,700,0.851581508515815,0.47285714285714286,-0.0032142857142857142,-0.25,7.621428571428571,6.8567857142857145,0.5071428571428571,822.0,-0.006360461054837563,0.27306933286762136,-0.06850538755648239,0.4792176039119804,-0.2762836185819071,0.5413625304136253
structure_hhhl,45,15,IS,700,0.851581508515815,0.4942857142857143,0.18928571428571428,0.0,9.252142857142857,8.458571428571428,0.5042857142857143,822.0,0.005288159273489357,0.3888578414250786,-0.06289190128606187,0.4889975550122249,-0.1995721271393643,0.5571776155717761
structure_hhhl,45,30,IS,700,0.851581508515815,0.46,-0.11214285714285714,-0.5,12.928214285714287,12.0875,0.4957142857142857,822.0,-0.014327628361858191,0.09812609151239958,-0.09231143552311433,0.4743276283618582,-0.21026894865525672,0.5523114355231143
structure_hhhl,45,10,Validation,191,0.8761467889908257,0.4869109947643979,-2.6845549738219896,-0.75,21.941099476439792,26.168848167539267,0.4607329842931937,218.0,-0.008501849272299355,-1.7453347903357512,-0.008501849272299355,0.4954128440366973,-0.9392201834862385,0.4954128440366973
structure_hhhl,45,15,Validation,191,0.8761467889908257,0.4816753926701571,-3.1387434554973823,-2.0,26.022251308900522,30.975130890052355,0.4712041884816754,218.0,-0.02291176329314565,-2.033238868341419,-0.02291176329314565,0.5045871559633027,-1.1055045871559632,0.5045871559633027
structure_hhhl,45,30,Validation,191,0.8761467889908257,0.47643979057591623,-2.7028795811518322,-2.75,38.981675392670155,43.17801047120419,0.47643979057591623,218.0,-0.0006244296075700317,-1.034301599500456,-0.03732167731399205,0.47706422018348627,-1.6685779816513762,0.5137614678899083
structure_hhhl,45,10,OOS,112,0.896,0.5535714285714286,-2.064732142857143,5.625,41.372767857142854,43.546875,0.5357142857142857,125.0,0.033571428571428585,0.739267857142857,0.04157142857142859,0.52,-2.804,0.512
structure_hhhl,45,15,OOS,112,0.896,0.49107142857142855,-1.6964285714285714,-1.25,50.723214285714285,49.979910714285715,0.5357142857142857,125.0,0.011071428571428565,3.2395714285714288,0.051071428571428545,0.48,-4.936,0.44
structure_hhhl,45,30,OOS,112,0.896,0.5357142857142857,4.408482142857143,1.875,68.70535714285714,62.247767857142854,0.5625,125.0,0.0077142857142856736,1.2984821428571434,0.06371428571428572,0.528,3.11,0.472
structure_hhhl,45,10,ALL,1003,0.8609442060085837,0.48454636091724823,-0.7440179461615155,-0.25,14.117148554336989,14.63135593220339,0.5014955134596212,1165.0,-0.002103079220564019,-0.0711066627851159,-0.04506737298833119,0.48664944013781225,-0.6729112833763996,0.5296137339055794
structure_hhhl,45,15,ALL,1003,0.8609442060085837,0.4915254237288136,-0.6550348953140578,0.0,17.076520438683946,17.38285144566301,0.5014955134596212,1165.0,0.0005693513773923908,0.22459473431557186,-0.04323852476904044,0.4909560723514212,-0.8796296296296297,0.534763948497854
structure_hhhl,45,30,ALL,1003,0.8609442060085837,0.4715852442671984,-0.10069790628115653,-0.5,24.1178963110668,23.609172482552342,0.4995014955134596,1165.0,-0.009034910771561322,0.02591708079894682,-0.06489544242808054,0.4806201550387597,-0.12661498708010335,0.5364806866952789
