split,instrument,horizon_m,feature,target,n,spearman
Discovery,nq,5,surf_oi_gamma_pc_asym,absret,7607,0.2012297892951035
Discovery,nq,5,surf_oi_gamma_pc_asym,rv,7607,0.2821204529780973
Discovery,nq,5,surf_atm_oi_gamma_abs_share,ret,7544,-0.007500257389178705
Discovery,nq,5,surf_atm_oi_gamma_abs_share,absret,7544,-0.3292683635311675
Discovery,nq,5,surf_atm_oi_gamma_abs_share,rv,7544,-0.466025598683191
Discovery,nq,5,surf_near_oi_gamma_abs_share,ret,7544,-0.010782208833155726
Discovery,nq,5,surf_near_oi_gamma_abs_share,absret,7544,-0.3192355251182308
Discovery,nq,5,surf_near_oi_gamma_abs_share,rv,7544,-0.45846100953997587
Discovery,nq,5,surf_oi_gamma_m_slope,ret,7544,-0.007830300160312753
Discovery,nq,5,surf_oi_gamma_m_slope,absret,7544,0.06717291140049005
Discovery,nq,5,surf_oi_gamma_m_slope,rv,7544,0.07551671641443077
Discovery,nq,5,surf_peak_abs_oi_gamma_dist,ret,7544,0.004953768725061002
Discovery,nq,5,surf_peak_abs_oi_gamma_dist,absret,7544,0.014286588058558095
Discovery,nq,5,surf_peak_abs_oi_gamma_dist,rv,7544,0.01624792467828264
Discovery,nq,5,volg_gamma_sum,ret,7607,-0.024066014545256083
Discovery,nq,5,volg_gamma_sum,absret,7607,-0.13757882872696656
Discovery,nq,5,volg_gamma_sum,rv,7607,-0.185426622622058
Discovery,nq,5,volg_gamma_balance,ret,7607,-0.024066014545256083
Discovery,nq,5,volg_gamma_balance,absret,7607,-0.13757882872696656
Discovery,nq,5,volg_gamma_balance,rv,7607,-0.185426622622058
Discovery,nq,5,surf_iv_atm,ret,7607,-0.007756609925248803
Discovery,nq,5,surf_iv_atm,absret,7607,0.34640421644255476
Discovery,nq,5,surf_iv_atm,rv,7607,0.4795243349644155
Discovery,nq,5,surf_iv_skew_wing,ret,7607,0.0026975175723373203
Discovery,nq,5,surf_iv_skew_wing,absret,7607,0.31950169660639827
Discovery,nq,5,surf_iv_skew_wing,rv,7607,0.43797911024215214
Discovery,nq,5,surf_delta_oi_sum,ret,7607,0.03007484810644267
Discovery,nq,5,surf_delta_oi_sum,absret,7607,-0.20424855845736867
