feature,split,instrument,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
surf_oi_gamma_balance,Validation,nq,15,high,197,-3.300717199240144e-06,1.5551615812903208e-05,0.0011277673373714335,0.0013569656972236266,0.5076142131979695
surf_oi_gamma_balance,Validation,nq,30,low,2635,-3.111801630777535e-05,8.265145879815528e-05,0.002466670102251789,0.0030391678635828642,0.5127134724857685
surf_oi_gamma_balance,Validation,nq,30,mid,1985,6.530143240264722e-05,0.0001446247790455324,0.0019269936795677583,0.002397746969593983,0.5345088161209068
surf_oi_gamma_balance,Validation,nq,30,high,197,0.00014480371664769652,2.9190688170421808e-05,0.0015613561545242468,0.001909014393109829,0.5025380710659898
surf_oi_gamma_balance,Validation,nq,60,low,2635,-6.480078436449008e-06,0.00018122806728504415,0.00332009051426801,0.004163317275223144,0.5233396584440227
surf_oi_gamma_balance,Validation,nq,60,mid,1985,0.00012967044263865354,0.0002123388155355066,0.002735951382602149,0.0033232538017463403,0.5385390428211587
surf_oi_gamma_balance,Validation,nq,60,high,197,0.00042471188254801696,0.0003399279352778173,0.0021053776673182253,0.0026193394360640473,0.5431472081218274
surf_oi_gamma_balance,Validation,nq,120,low,2635,4.156944588396917e-05,0.000200531408231841,0.004362098408386683,0.005521671774160524,0.5222011385199241
surf_oi_gamma_balance,Validation,nq,120,mid,1985,0.0002636996743742776,0.00037480556961067,0.0037706390982837155,0.0044537531258074395,0.5435768261964735
surf_oi_gamma_balance,Validation,nq,120,high,197,0.000609722339032736,0.00024833106913835223,0.0026175428198901974,0.0033991363550838556,0.5431472081218274
surf_oi_gamma_balance,OOS,es,5,low,302,-5.989185833699154e-05,-4.9962913220402694e-05,0.0005822984021644311,0.000627502462124662,0.4337748344370861
surf_oi_gamma_balance,OOS,es,5,mid,551,-5.924637628231605e-05,0.0,0.0004894140598825562,0.0005317544022612083,0.4627949183303085
surf_oi_gamma_balance,OOS,es,5,high,17,-0.0004094563173093496,-0.00018836825994816842,0.000620975392799418,0.0005345135133402984,0.29411764705882354
surf_oi_gamma_balance,OOS,es,15,low,302,-8.98622478651888e-05,-4.747794731907451e-05,0.0008338054800726073,0.0010455324532066537,0.45364238410596025
surf_oi_gamma_balance,OOS,es,15,mid,551,-4.7900001112099215e-05,-4.939491232403004e-05,0.0007216084593268214,0.0009264231832903884,0.47368421052631576
surf_oi_gamma_balance,OOS,es,15,high,17,-0.00040088047822647366,-0.00015684634286605714,0.0007024619431692198,0.0010323173162133624,0.29411764705882354
surf_oi_gamma_balance,OOS,es,30,low,302,-5.373324757424539e-05,-4.896692073741438e-05,0.0011249774848912212,0.0014328552956758447,0.46357615894039733
surf_oi_gamma_balance,OOS,es,30,mid,551,9.519505656537089e-05,9.456711901267845e-05,0.001067168307048723,0.0012969943867452082,0.515426497277677
surf_oi_gamma_balance,OOS,es,30,high,17,-0.00023895067812105525,-0.00039645175677682776,0.0009680127459064429,0.0014127631256167705,0.47058823529411764
surf_oi_gamma_balance,OOS,es,60,low,302,-4.6866571780691304e-05,-4.79914742912424e-05,0.0016184175252002399,0.001989263360807609,0.4768211920529801
surf_oi_gamma_balance,OOS,es,60,mid,551,0.00014382877486640314,0.00020478165156401218,0.0015110773504676388,0.0018124400224584548,0.5535390199637024
surf_oi_gamma_balance,OOS,es,60,high,17,0.00024074630230972057,0.0003315492824327304,0.0013755873788916647,0.002018362751785726,0.5294117647058824
surf_oi_gamma_balance,OOS,es,120,low,302,-4.225745337652241e-05,-7.322547479693409e-05,0.002157199890349866,0.0026885605306967405,0.4768211920529801
surf_oi_gamma_balance,OOS,es,120,mid,551,0.00029154648698396005,0.0003404834865508022,0.0021300868734828587,0.0024751462968009147,0.5607985480943739
surf_oi_gamma_balance,OOS,es,120,high,17,0.0009868463226927666,0.0004158004158003603,0.002431067865182193,0.0025202005551676065,0.5294117647058824
surf_oi_gamma_balance,OOS,nq,5,low,302,-1.0254242371390262e-05,-4.3585958121095114e-05,0.0007821360128761963,0.0008455799838171563,0.47019867549668876
surf_oi_gamma_balance,OOS,nq,5,mid,551,-7.971593594345408e-05,-1.3512235329082856e-05,0.0006509699190698688,0.0007249398167896411,0.4882032667876588
surf_oi_gamma_balance,OOS,nq,5,high,17,-0.0007427466662392958,-0.00044387055120653773,0.0009774406843811034,0.0007866546606260017,0.23529411764705882
surf_oi_gamma_balance,OOS,nq,15,low,302,-4.531064089723523e-05,1.4012215300840403e-05,0.0011198009282703202,0.001422434265961611,0.5066225165562914
surf_oi_gamma_balance,OOS,nq,15,mid,551,-1.2462453272803076e-05,-1.420878387015101e-05,0.0009813030819532732,0.001239314473729984,0.484573502722323
surf_oi_gamma_balance,OOS,nq,15,high,17,-0.0006713238858697221,-0.00030836098792985656,0.001066634197982135,0.0014296873732739185,0.35294117647058826
surf_oi_gamma_balance,OOS,nq,30,low,302,-3.3886279946505166e-05,-6.768189509287481e-06,0.0015246763410547114,0.0019229779816492716,0.4966887417218543
surf_oi_gamma_balance,OOS,nq,30,mid,551,0.00013428745582132656,0.00016471011020602333,0.001467728792062687,0.0017106705321645117,0.5444646098003629
surf_oi_gamma_balance,OOS,nq,30,high,17,-0.0004699546757097867,-0.0004243302167010743,0.0013591761071736926,0.0019158386057123306,0.4117647058823529
surf_oi_gamma_balance,OOS,nq,60,low,302,2.1407736682298456e-05,6.955011326714722e-05,0.0021615761381391686,0.0026411120732448435,0.5132450331125827
surf_oi_gamma_balance,OOS,nq,60,mid,551,0.00017612238268322516,0.00022975456806140215,0.002019935576792929,0.0023730907957508996,0.542649727767695
surf_oi_gamma_balance,OOS,nq,60,high,17,0.00020590581784358012,-0.00020175934145749697,0.002353542023251521,0.002800664543974924,0.47058823529411764
surf_oi_gamma_balance,OOS,nq,120,low,302,4.0574793439516435e-05,-2.7294672966304834e-05,0.002917521509686365,0.0035223689946203528,0.4966887417218543
surf_oi_gamma_balance,OOS,nq,120,mid,551,0.00032276764958372997,0.0004968218017096238,0.0028874333388266816,0.0032122549693655716,0.5716878402903811
surf_oi_gamma_balance,OOS,nq,120,high,17,0.0008931010743440252,0.0003365009287426002,0.0033840981260277883,0.003455549884547787,0.5294117647058824
surf_oi_gamma_pc_asym,Discovery,es,5,low,2787,2.5251204756057208e-05,0.0,0.0003842644898166927,0.000489628530879185,0.49264442052386076
surf_oi_gamma_pc_asym,Discovery,es,5,mid,2397,1.253329647982881e-05,5.708088361200403e-05,0.0006527737363366604,0.0008078612025086458,0.5060492282019191
surf_oi_gamma_pc_asym,Discovery,es,5,high,2424,-3.816879844698011e-05,0.0,0.0007593729244243545,0.000911768986477352,0.46204620462046203
surf_oi_gamma_pc_asym,Discovery,es,15,low,2787,6.119398363321356e-05,8.53169524783759e-05,0.0006216340627702982,0.0008340716446510083,0.5184786508790814
surf_oi_gamma_pc_asym,Discovery,es,15,mid,2397,3.428343794406403e-05,8.331250520710043e-05,0.0010336818104941935,0.001322881638762102,0.5135586149353358
surf_oi_gamma_pc_asym,Discovery,es,15,high,2424,-4.592031508178225e-05,0.0,0.0011953757495511272,0.0015500698962983505,0.4814356435643564
surf_oi_gamma_pc_asym,Discovery,es,30,low,2787,0.00011850542899792124,0.00010763104079214436,0.0008463923533121436,0.0011604016024305852,0.5414424111948332
surf_oi_gamma_pc_asym,Discovery,es,30,mid,2397,8.761008762728783e-05,0.000157878118092869,0.0013587409935416003,0.0018065292918966597,0.5365039632874427
surf_oi_gamma_pc_asym,Discovery,es,30,high,2424,-0.0001628605868315037,-7.959258630013677e-05,0.0016305398059807794,0.0021480881591647814,0.4698844884488449
surf_oi_gamma_pc_asym,Discovery,es,60,low,2787,0.0002382865068480943,0.00023503143545444694,0.001160359762352085,0.0016133205682772017,0.5733763903839254
