prior_session,next_session,open,prior_poc,prior_range,prior_poc_location,poc_location_third,half_width,displacement,null_center,null_outside_prior_range,open_inside_both_bands,n_bars,vwap_proxy,poc_band_touch,null_band_touch,poc_point_touch,null_point_touch,minutes_to_poc_band,minutes_to_null_band,touch_order,abs_migration_poc,abs_migration_null,closer_center,imbalance_poc,imbalance_null
2026-07-09,2026-07-13,29446.0,30050.0,402.75,0.931098696461825,upper,40.275000000000006,604.0,28842.0,True,False,1380,29715.634739912544,False,False,False,False,,,tie,0.8302054874921309,2.169173780043561,poc,,
2026-07-13,2026-07-14,29805.0,29785.0,618.25,0.7788111605337646,upper,61.825,-20.0,29825.0,False,True,1380,29715.80205187743,True,True,True,True,0.0,0.0,tie,0.11192551253145441,0.17662425899324172,poc,470.0,454.0
2026-07-14,2026-07-15,29709.0,29700.0,665.5,0.4552967693463561,middle,66.55,-9.0,29718.0,False,True,1380,29375.189733640425,True,True,True,True,0.0,0.0,tie,0.48806952120146446,0.5151168540339213,poc,-774.0,-1013.0
2026-07-15,2026-07-16,29191.0,29300.0,718.5,0.3082811412665275,lower,71.85000000000001,109.0,29082.0,False,False,1380,28797.544114138425,False,True,False,True,,22.0,null_sooner,0.6993122976500691,0.3959024159520872,null,,-1217.0
2026-07-16,2026-07-20,28778.25,28850.0,811.75,0.5441946412072682,middle,81.17500000000001,71.75,28706.5,False,True,1380,29195.412303795998,True,True,True,True,0.0,0.0,tie,0.42551561908961877,0.6022941839186917,poc,1221.0,1370.0
2026-07-20,2026-07-21,29310.75,29338.0,663.75,0.95969868173258,upper,66.375,27.25,29283.5,False,True,1380,29212.62455569082,True,True,True,True,0.0,0.0,tie,0.1888895582812481,0.10678033040930836,null,-332.0,-844.0
2026-07-21,2026-07-22,29100.0,29220.0,390.25,0.686739269698911,upper,39.025000000000006,120.0,28980.0,False,False,1380,28729.525766467454,True,True,True,True,136.0,549.0,poc_sooner,1.2568205856055,0.6418301948303557,null,-1089.0,-351.0
2026-07-22,2026-07-23,28700.25,28750.0,850.0,0.3735294117647059,middle,85.0,49.75,28650.5,False,True,1380,28453.83265204807,True,True,False,True,0.0,0.0,tie,0.3484321740610946,0.23137335053168284,null,,-747.0
2026-07-23,2026-07-27,28210.5,28290.0,523.5,0.1480420248328557,lower,52.35,79.5,28131.0,True,False,1380,27903.213482220213,False,True,False,True,,7.0,null_sooner,0.7388472163892773,0.4351222880225151,null,,-1184.0
2026-07-27,2026-07-28,27962.0,27950.0,624.5,0.55484387510008,middle,62.45,-12.0,27974.0,False,True,1380,27712.195469983653,True,True,True,True,0.0,0.0,tie,0.3807918815313798,0.41922262612705635,poc,-741.0,-877.0
2026-07-28,2026-07-29,27202.0,27900.0,976.75,0.7151266956744305,upper,97.67500000000001,698.0,26504.0,True,False,1380,27985.661418054307,True,False,True,False,882.0,,poc_sooner,0.0877004536005195,1.516930041519639,poc,432.0,
2026-07-29,2026-07-30,28317.0,27842.5,1212.5,0.5282474226804124,middle,121.25,-474.5,28791.5,True,False,1380,28383.455954509398,False,True,False,False,,933.0,null_sooner,0.4461492408324932,0.3365311715386408,null,,
2026-07-30,2026-08-03,28930.0,28460.0,646.0,0.5886222910216719,middle,64.60000000000001,-470.0,29400.0,True,False,1380,29546.140814931638,False,True,False,True,,932.0,null_sooner,1.6813325308539282,0.2262241717208012,null,,434.0
