shape,rank,session_date,score,step1_label,component_1,component_2,component_3,component_4,component_1_name,component_2_name,component_3_name,component_4_name,poc_location,volume_above_share,volume_below_share,lower_tail_width_10,upper_tail_width_10,upper_body_share,lower_body_share,n_major_peaks,n_local_maxima,normalized_separation,valley_depth,peak_balance,B_score_reason
b,15,2026-05-20,0.45679711291834507,UNCLASSIFIED,0.782312925170068,0.7201933102262803,0.1436130007558578,0.1810692155211741,b1,b2,b3,b4,0.2653061224489796,0.355961337954744,0.6440386620452561,0.1870748299319728,0.23015873015873015,0.19430639540375408,0.378888688190717,3,6,0.11337868480725624,0.5646794150731158,0.6770753998476771,
b,16,2026-03-26,0.41027796458193233,B-like,0.4673839946200403,1.0,0.1737278637076889,0.0,b1,b2,b3,b4,0.3597848016139879,0.2896926970091406,0.7103073029908594,0.12508406186953597,0.17720242098184263,0.15453423868507168,0.30176049364321705,2,5,0.2219233355749832,1.0,0.7029156816390859,
b,17,2026-06-30,0.37107822160167186,UNCLASSIFIED,0.19027968821641447,0.9761362090415643,0.3178969891487086,0.0,b1,b2,b3,b4,0.44291609353507566,0.30477275819168714,0.6952272418083129,0.1856946354883081,0.2810637322329207,0.11079258109863938,0.2611915432253333,2,5,0.12838147638697844,0.6392931392931394,0.8387096774193549,
b,18,2026-08-13,0.36387585384093424,UNCLASSIFIED,0.9659462999345122,0.3636619845899114,0.0261951538965291,0.09969997694278449,b1,b2,b3,b4,0.21021611001964635,0.4272676030820177,0.5727323969179823,0.12868369351669942,0.13654223968565815,0.27976817305589835,0.35691899377455183,6,6,0.26719056974459726,0.8675263774912075,0.8257502420135527,
b,19,2026-05-06,0.34175369374775555,UNCLASSIFIED,0.6651814131126671,0.7018333618783551,0.0,0.0,b1,b2,b3,b4,0.30044557606619987,0.359633327624329,0.640366672375671,0.19796308084022915,0.18268618714194781,0.20303996765926194,0.2665194669332926,4,5,0.1527689369828135,0.6867873910127431,0.9582262210796915,
b,20,2026-07-01,0.33303464708309805,UNCLASSIFIED,1.0,0.14355528647661764,0.06303580433686332,0.12554749751891117,b1,b2,b3,b4,0.13262733232476046,0.47128894270467653,0.5287110572953235,0.11321230458900655,0.13212304589006554,0.31620422457096675,0.36389782433010603,4,7,0.6959152798789713,0.9845360824742269,0.6339869281045751,
b,21,2026-07-23,0.32879568355274114,UNCLASSIFIED,1.0,0.06685417642681935,0.2483285577841452,0.0,b1,b2,b3,b4,0.14804202483285578,0.4866291647146361,0.5133708352853639,0.1227316141356256,0.19723018147086915,0.18784028413510184,0.31731172952100384,4,6,0.40114613180515757,0.876265466816648,0.9231568016614745,
b,22,2026-06-10,0.3110284148793588,UNCLASSIFIED,0.7952027115108851,0.44891094800655007,0.0,0.0,b1,b2,b3,b4,0.2614391865467345,0.41021781039869,0.58978218960131,0.3005475166210403,0.09542432538130621,0.2716335063646308,0.09907613473808827,4,5,0.11732499022291748,0.9670542635658914,0.910856134157105,
b,23,2026-06-25,0.3036278547601438,UNCLASSIFIED,0.12120177534994873,0.560704659054232,0.5326049846363946,0.0,b1,b2,b3,b4,0.4636394673950154,0.3878590681891536,0.6121409318108464,0.17753499487879823,0.3373164902697166,0.06033479592103771,0.2960073972626639,3,6,0.27313076135199726,0.8735511064278187,0.8580470162748643,
b,24,2026-09-07,0.29919810882554676,UNCLASSIFIED,0.0,0.696792435302187,0.5000000000000001,0.0,b1,b2,b3,b4,0.5448529411764705,0.36064151293956265,0.6393584870604374,0.20294117647058824,0.35294117647058826,0.06839719900003749,0.2747371349535041,3,3,0.10294117647058823,0.500377358490566,0.8851035404141616,
b,25,2026-04-08,0.2955301844508278,UNCLASSIFIED,0.8458300447250724,0.11191315041301386,0.0,0.22437754266522497,b1,b2,b3,b4,0.2462509865824783,0.4776173699173972,0.5223826300826028,0.14285714285714285,0.09707971586424625,0.3579658912521699,0.39058193651961076,4,5,0.691397000789266,0.9772905246671887,0.798125,
b,26,2026-09-08,0.2596447354217633,UNCLASSIFIED,0.4474923801607093,0.5910865615263439,0.0,0.0,b1,b2,b3,b4,0.3657522859517872,0.38178268769473117,0.6182173123052688,0.22194513715710723,0.20116375727348296,0.16828870093184178,0.18532774241918337,2,4,0.142975893599335,0.7721518987341772,0.593029490616622,
b,27,2026-04-14,0.25,UNCLASSIFIED,1.0,0.0,0.0,0.0,b1,b2,b3,b4,0.14704225352112676,0.5075061080086305,0.4924938919913695,0.14197183098591548,0.0856338028169014,0.22090961733722553,0.32401795913186954,4,6,0.4529577464788732,0.9636163175303197,0.8069395017793595,
b,28,2026-08-10,0.2295812117412941,UNCLASSIFIED,0.7749469214437368,0.12214650301613172,0.02123142250530785,0.0,b1,b2,b3,b4,0.267515923566879,0.4755706993967737,0.5244293006032263,0.2024062278839349,0.20877565463552725,0.16189302058976063,0.28190366575985587,4,6,0.3453644727530078,0.8601321585903083,0.8631178707224335,
b,29,2026-06-04,0.22937934887500636,UNCLASSIFIED,0.9175173955000254,0.0,0.0,0.0,b1,b2,b3,b4,0.22474478134999237,0.5165011758035989,0.4834988241964011,0.17690080755751944,0.16410178272131648,0.24209676324625598,0.25891933867535444,4,6,0.17065366448270608,1.0,0.8338762214983714,
b,30,2026-06-24,0.21783072204387702,UNCLASSIFIED,0.27462121212121215,0.5967016760542959,0.0,0.0,b1,b2,b3,b4,0.41761363636363635,0.3806596647891408,0.6193403352108592,0.2587809917355372,0.14514462809917356,0.22963471984592226,0.1483091651941398,2,6,0.10330578512396695,0.7749326145552561,0.6819852941176471,
b,31,2026-08-25,0.20243138434672886,UNCLASSIFIED,0.0,0.5122371199277592,0.2974884174591563,0.0,b1,b2,b3,b4,0.5384052670080468,0.39755257601444816,0.6024474239855518,0.23408924652523774,0.3233357717629846,0.08031702750198087,0.16801970687571655,3,4,0.13167520117044623,0.6496350364963503,0.9456427955133736,
b,32,2026-06-23,0.19929919476302937,UNCLASSIFIED,0.0,0.14676751440112823,0.6504292646509893,0.0,b1,b2,b3,b4,0.5993840985442329,0.47064649711977435,0.5293535028802256,0.1506159014557671,0.34574468085106386,0.04498222362249873,0.27839703513018343,4,8,0.10862262038073908,0.7012195121951219,0.7861936720997124,
b,33,2026-07-14,0.18866675003224176,UNCLASSIFIED,0.14901076884547967,0.6056562312834873,0.0,0.0,b1,b2,b3,b4,0.4552967693463561,0.37886875374330253,0.6211312462566975,0.1859504132231405,0.1720510894064613,0.22838783274576313,0.21800169495296404,2,6,0.15026296018031554,0.8510848126232742,0.9854227405247813,
b,34,2026-08-18,0.18374118686110993,UNCLASSIFIED,0.14416775884665797,0.46191974962879967,0.12887723896898204,0.0,b1,b2,b3,b4,0.4567496723460026,0.40761605007424007,0.5923839499257599,0.2162516382699869,0.2549148099606815,0.12190317515577376,0.18628729156157414,2,3,0.1310615989515072,0.7185128983308042,0.7334446299387869,
b,35,2026-04-28,0.17724783440083053,UNCLASSIFIED,0.0,0.42253300426998874,0.28645833333333337,0.0,b1,b2,b3,b4,0.58125,0.41549339914600225,0.5845066008539977,0.26875,0.3546875,0.0445589756323601,0.14095417601088656,2,2,0.1875,0.7254784688995215,0.9841082989994114,
b,36,2026-06-03,0.14211350654136726,UNCLASSIFIED,0.568454026165469,0.0,0.0,0.0,b1,b2,b3,b4,0.3294637921503593,0.5455041531865017,0.4544958468134983,0.20287451630735212,0.10171365395245992,0.31376890462322315,0.2416966170516861,6,8,0.39800995024875624,0.9461756373937678,0.9566395663956639,
b,37,2026-07-27,0.13177208433413395,UNCLASSIFIED,0.0,0.0,0.5270883373365358,0.0,b1,b2,b3,b4,0.55484387510008,0.5940368601272721,0.4059631398727279,0.1545236188951161,0.31265012009607684,0.08390216812828286,0.22765424100084072,3,6,0.10408326661329063,0.44021164021164016,0.6333780160857909,
