n,ic,n_early,ic_early,n_late,ic_late,n_daily,ic_daily_median,n_pos,n_neg,median_pos,mean_pos,median_neg,mean_neg,n_sign,sign_pct,family,feature,window_s,horizon_s,signed
232416,-0.006447554745751458,116193,0.004602290346724585,116223,-0.019360382901551943,26,-0.014926003545453722,115722.0,115357.0,0.0,-0.14424439605260883,0.125,0.11883435768960704,229908.0,0.4980861909981384,trade,trade_imbalance,30,30,True
231636,0.001642987006269859,115803,0.013214331928218385,115833,-0.012610639595682567,26,0.0011476662197234865,115300.0,115007.0,0.25,-0.09227016478751084,0.25,0.02023898545305938,229441.0,0.5007561856860805,trade,trade_imbalance,30,60,True
233192,-0.0073702272992377926,116588,-0.00888661901640228,116604,-0.005745941874176825,26,-0.007636272008814734,116033.0,115814.0,0.0,-0.0011192936492204805,0.0,0.0013426701435059665,223750.0,0.49686703910614527,trade,signed_volume,30,1,True
233076,-0.006651742207926407,116528,-0.0035070893105554977,116548,-0.009991098177219868,26,-0.01350494794292168,115992.0,115742.0,0.0,-0.021907760880060693,0.0,0.027787017677247672,228522.0,0.4987134717882742,trade,signed_volume,30,5,True
232806,-0.004474665590293272,116388,0.005328919616828236,116418,-0.014537646425903486,26,-0.013217970979126113,115888.0,115578.0,0.125,-0.07126492820654425,0.125,0.0785476042153351,229660.0,0.4999869372115301,trade,signed_volume,30,15,True
232416,-0.010002991065775986,116193,0.00330003492026087,116223,-0.0240490619369155,26,-0.011388089379239803,115722.0,115357.0,0.0,-0.14424439605260883,0.125,0.11883435768960704,229908.0,0.4980861909981384,trade,signed_volume,30,30,True
231636,-0.0025108283361730648,115803,0.010664903577883496,115833,-0.01673210066207677,26,-0.012836875015922008,115300.0,115007.0,0.25,-0.09227016478751084,0.25,0.02023898545305938,229441.0,0.5007561856860805,trade,signed_volume,30,60,True
233192,-0.008389533251301533,116588,-0.009213676434123918,116604,-0.007313244158121628,26,-0.008887912560949111,114856.0,115966.0,0.0,-0.007185083931183395,0.0,0.007038700998568546,222758.0,0.4961213514217222,trade,count_imbalance,30,1,True
233076,-0.00947305581681468,116528,-0.006834709329650619,116548,-0.012824780524611041,26,-0.01631209978044471,114810.0,115897.0,0.0,-0.056847182301193275,0.0,0.0595636642881179,227505.0,0.49741763917276544,trade,count_imbalance,30,5,True
232806,-0.009870726278111294,116388,-0.0006208883722830314,116418,-0.02071744555710407,26,-0.009350871226365475,114706.0,115735.0,0.0,-0.12195852876048333,0.125,0.12080723203870912,228636.0,0.4978174915586347,trade,count_imbalance,30,15,True
232416,-0.012827887057804873,116193,0.001067696789328955,116223,-0.02995147720454054,26,-0.023026914534995127,114550.0,115505.0,0.0,-0.23958206023570494,0.25,0.20989892212458336,228889.0,0.4949910218490185,trade,count_imbalance,30,30,True
231636,-0.0008951726301355648,115803,0.013354086750086747,115833,-0.019161874607798758,26,-0.008587170982432462,114205.0,115080.0,0.25,-0.19277395910862047,0.25,0.10781087069864442,228416.0,0.49978110114878116,trade,count_imbalance,30,60,True
233141,0.008927809292426965,116555,0.012324708711187843,116586,0.005782989695578224,26,0.010725140743138776,61255.0,60990.0,0.0,0.02433270753407885,0.0,-0.009915559927857026,117691.0,0.5072095572303744,book_change,depth_bid_change,30,1,True
233025,0.0012978973104711198,116495,0.00046219229386901966,116530,0.0020606086597729652,26,-0.0019647155391095293,61221.0,60953.0,0.0,0.012826481109423237,0.0,0.006890555017800601,120384.0,0.5019520866560341,book_change,depth_bid_change,30,5,True
232755,0.0018386554686052959,116355,0.0009264218668949494,116400,0.0025654611432907523,26,0.0010728160718010533,61138.0,60862.0,0.125,0.05198280938205371,0.125,0.0147197758864316,120940.0,0.5007276335372912,book_change,depth_bid_change,30,15,True
232365,-0.0008622461840754996,116160,-0.00024351994485367827,116205,-0.0015351297754920687,26,-0.001373124384502733,61016.0,60755.0,0.125,0.03449095319260522,0.125,0.05146490000822977,121118.0,0.49914133324526494,book_change,depth_bid_change,30,30,True
231585,0.0020647332824474452,115770,0.0026516763209352722,115815,0.0015077644189970545,26,0.002275240884360866,60772.0,60520.0,0.375,0.1023209701836372,0.3125,0.0212966787838731,120777.0,0.5012129792924149,book_change,depth_bid_change,30,60,True
233141,-0.005118660856915869,116555,-0.005430575654018838,116586,-0.004813410918057914,26,-0.0062570755563834,61707.0,61325.0,0.0,-0.014874730581619588,0.0,0.010116184264166326,118433.0,0.49613705639475486,book_change,depth_ask_change,30,1,True
233025,-0.002805632180698218,116495,-0.004521466942411254,116530,-0.0012459782016104662,26,-0.002348347272861352,61670.0,61290.0,0.0,-0.034844738122263665,0.0,0.0010075053026594877,121150.0,0.49798596780850185,book_change,depth_ask_change,30,5,True
232755,-0.003120838086249314,116355,-0.005190841731376014,116400,-0.0011940365415524568,26,-0.0037804662236072617,61580.0,61229.0,0.0,-0.06452176031178954,0.125,0.0017005830570481308,121752.0,0.4980041395623891,book_change,depth_ask_change,30,15,True
232365,-0.0004975869462718304,116160,-0.004911036914621438,116205,0.0036908442838291286,26,0.0005027369575814274,61460.0,61111.0,0.125,-0.07438171168239506,0.125,-0.029104825645137538,121907.0,0.4992412248681372,book_change,depth_ask_change,30,30,True
231585,-0.000871032389398802,115770,-0.0036110930678209903,115815,0.0017248115744284665,26,-0.0022812633962697518,61265.0,60859.0,0.25,-0.14098588100873255,0.25,-0.0553862206082913,121647.0,0.49993012569155015,book_change,depth_ask_change,30,60,True
233141,0.008533615319338755,116555,0.011302946167604562,116586,0.0059810663197810265,26,0.010440748295117833,80482.0,80497.0,0.0,0.013625717551750701,0.0,-0.014523833186329925,155070.0,0.5060617785516218,book_change,depth_net_change,30,1,True
233025,0.002247611444453964,116495,0.003285549439066039,116530,0.0013778688085042425,26,0.0020191582785289396,80441.0,80455.0,0.0,-0.0012478089531457839,0.0,-0.008815486918153004,158576.0,0.5024215518111189,book_change,depth_net_change,30,5,True
232755,0.0029050032126018413,116355,0.0036555565745740415,116400,0.002169954124531483,26,0.0001946365809648023,80357.0,80334.0,0.125,0.034732506191122114,0.0,-0.014078721338412129,159347.0,0.5013963237462895,book_change,depth_net_change,30,15,True
232365,-0.0009344698386706415,116160,0.0027361984953414645,116205,-0.004387356029325771,26,-0.0004467624636740138,80207.0,80198.0,0.125,-0.013621005647886094,0.125,-0.007908551335444774,159562.0,0.49977438237174265,book_change,depth_net_change,30,30,True
231585,0.0009054181321766715,115770,0.0026527823458460348,115815,-0.0008015470603134419,26,0.0020561534071478816,79906.0,79941.0,0.375,-0.010193227041774085,0.25,-0.02922467820017263,159205.0,0.5002920762538865,book_change,depth_net_change,30,60,True
233192,-0.005798750889336309,116588,-0.004602830746372396,116604,-0.007071731148731013,26,-0.004053631971660254,104656.0,128323.0,0.0,-0.003576001375936401,0.0,0.002823928679971634,224836.0,0.4979140351189311,order_flow,add_signed,30,1,True
233076,-0.0061640027785137465,116528,-0.0023894753074353396,116548,-0.010101158319779613,26,-0.006821341831839755,104612.0,128251.0,0.0,-0.022334913776622185,0.0,0.021209386281588447,229638.0,0.49827119205009623,order_flow,add_signed,30,5,True
232806,-0.009425334738657639,116388,-0.0012844928106873841,116418,-0.017648099134486613,26,-0.013616823748888576,104501.0,128092.0,0.125,-0.07711648692357011,0.125,0.06916122786747025,230774.0,0.49912468475651506,order_flow,add_signed,30,15,True
232416,-0.009924675557264681,116193,0.0038613172276050793,116223,-0.02400368362932876,26,-0.01218453106496823,104313.0,127890.0,0.125,-0.1581370490734616,0.125,0.10958343107357886,231022.0,0.500030300144575,order_flow,add_signed,30,30,True
231636,-0.008878888774825216,115803,0.015012029628755525,115833,-0.03269717676973153,26,-0.01253674277772011,103904.0,127519.0,0.375,-0.23528449337850324,0.25,0.1309265678055819,230546.0,0.5013966843927026,order_flow,add_signed,30,60,True
233192,-0.0048855463556334595,116588,-0.002470571702638876,116604,-0.007358796644460134,26,-0.004692775186221642,105271.0,127714.0,0.0,-0.008087459984231174,0.0,0.006288464851151792,224844.0,0.4996086175303766,order_flow,cancel_signed,30,1,True
233076,-0.0055535113096577635,116528,-0.0021577909075515367,116548,-0.009021387960831437,26,-0.006084153541982006,105222.0,127648.0,0.0,-0.030530687498812034,0.0,0.028087984143895715,229642.0,0.49930761794445266,order_flow,cancel_signed,30,5,True
232806,-0.009691261341676399,116388,-0.005840275318932532,116418,-0.013734132233158912,26,-0.008809131810556037,105101.0,127499.0,0.125,-0.08193428226182434,0.125,0.07386920681730837,230781.0,0.498736897751548,order_flow,cancel_signed,30,15,True
232416,-0.007181661223205107,116193,0.0015447709433519506,116223,-0.016354893569864207,26,-0.01669552973449586,104899.0,127311.0,0.125,-0.09003779826309116,0.0,0.05225982043971063,231029.0,0.5012141332906258,order_flow,cancel_signed,30,30,True
231636,-0.008037443401581742,115803,0.01148472987576624,115833,-0.027493309653108085,26,-0.005832752953712297,104511.0,126919.0,0.375,-0.18828042024284525,0.25,0.09282987574752401,230553.0,0.5021535178462219,order_flow,cancel_signed,30,60,True
233192,-0.003984473643213889,116588,-0.008774194663978623,116604,0.0009915281368267717,26,-0.005670851830498119,115917.0,116690.0,0.0,0.011893208071292391,0.0,-0.012341460279372697,224479.0,0.4969774455516997,order_flow,replenish_net,30,1,True
233076,-0.002335429219357476,116528,-0.0008232869541993527,116548,-0.0037875648555560676,26,-0.004501130336385996,115876.0,116616.0,0.0,0.016656814180675893,0.0,-0.012239958496261234,229270.0,0.49751820997077684,order_flow,replenish_net,30,5,True
232806,-0.005630230236756483,116388,0.006335748254694166,116418,-0.017723845737235268,26,-0.011121988357986825,115760.0,116464.0,0.125,-0.037782912923289565,0.125,0.04578131439758209,230410.0,0.49914934247645504,order_flow,replenish_net,30,15,True
232416,-0.020393692413696013,116193,-0.0065570067642937244,116223,-0.0345919844425399,26,-0.013937779325452853,115560.0,116275.0,0.0,-0.2768832208376601,0.25,0.2568232638142335,230653.0,0.4933471491808041,order_flow,replenish_net,30,30,True
231636,-0.011386542321608892,115803,0.001172880959213345,115833,-0.024142521138423523,26,-0.008597216440440935,115167.0,115893.0,0.25,-0.2333057646721717,0.375,0.17059917337544114,230187.0,0.49796469826706113,order_flow,replenish_net,30,60,True
232412,-0.003914229193359928,116198,-0.0036448568749681363,116214,-0.003956726759253307,26,0.00039457536154189536,,,,,,,,,trade,buy_volume,60,1,False
232296,-0.00015205729132293164,116138,0.00030704071151826636,116158,-0.00047326137114764815,26,0.007866195542101197,,,,,,,,,trade,buy_volume,60,5,False
232026,0.0020601793241678797,115998,0.0041912251308056075,116028,0.00046925502504390306,26,0.017912758801190837,,,,,,,,,trade,buy_volume,60,15,False
231636,0.000991108027714242,115803,-0.0004651381862633033,115833,0.0024475518475184236,26,0.01232609154172907,,,,,,,,,trade,buy_volume,60,30,False
