split,event_type,band,horizon_min,events,mean_long_return_pts,median_long_return_pts,positive_rate,mfe_pts,mae_pts,retention_rate,time_to_fail_min,fraction_below_60,max_extension_60_pts
OOS,break,1.5+,15,74,1.337837837837838,5.625,0.6081081081081081,29.972972972972972,-26.28716216216216,0.9054054054054054,16.75862068965517,0.16328828828828829,105.25337837837837
OOS,break,1.5+,30,74,5.797297297297297,6.875,0.581081081081081,40.32432432432432,-31.875,0.7972972972972973,16.75862068965517,0.16328828828828829,105.25337837837837
OOS,break,1.5+,60,74,3.081081081081081,2.5,0.5135135135135135,52.61486486486486,-44.9222972972973,0.7837837837837838,16.75862068965517,0.16328828828828829,105.25337837837837
OOS,break,<0.5,1,92,0.8342391304347826,0.625,0.5434782608695652,4.546195652173913,-3.7065217391304346,0.8586956521739131,10.65079365079365,0.26304347826086955,48.63858695652174
OOS,break,<0.5,5,92,0.5652173913043478,1.25,0.6086956521739131,8.866847826086957,-9.065217391304348,0.8260869565217391,10.65079365079365,0.26304347826086955,48.63858695652174
OOS,break,<0.5,15,92,0.7635869565217391,1.5,0.5543478260869565,15.035326086956522,-14.130434782608695,0.6739130434782609,10.65079365079365,0.26304347826086955,48.63858695652174
OOS,break,<0.5,30,92,3.505434782608696,2.125,0.5543478260869565,23.125,-20.182065217391305,0.75,10.65079365079365,0.26304347826086955,48.63858695652174
OOS,break,<0.5,60,92,3.2690217391304346,5.625,0.532608695652174,30.61141304347826,-27.355978260869566,0.6630434782608695,10.65079365079365,0.26304347826086955,48.63858695652174
OOS,control,0.5-1.0,1,414,-0.5730676328502415,-0.25,0.4613526570048309,4.0018115942028984,-4.404589371980676,0.016908212560386472,1.0628019323671498,0.9316425120772946,-64.02053140096618
OOS,control,0.5-1.0,5,414,-0.11292270531400966,-1.0,0.4492753623188406,8.978864734299517,-9.431159420289855,0.024154589371980676,1.0628019323671498,0.9316425120772946,-64.02053140096618
OOS,control,0.5-1.0,15,414,-0.5809178743961353,-0.25,0.49033816425120774,13.969202898550725,-15.748188405797102,0.043478260869565216,1.0628019323671498,0.9316425120772946,-64.02053140096618
OOS,control,0.5-1.0,30,414,-0.37379227053140096,-0.5,0.49033816425120774,19.49033816425121,-21.76207729468599,0.07246376811594203,1.0628019323671498,0.9316425120772946,-64.02053140096618
OOS,control,0.5-1.0,60,414,-0.767512077294686,-0.75,0.4806763285024155,28.713768115942027,-31.52355072463768,0.10144927536231885,1.0628019323671498,0.9316425120772946,-64.02053140096618
OOS,control,1.0-1.5,1,392,1.1932397959183674,0.5,0.5255102040816326,6.6020408163265305,-5.133928571428571,0.02295918367346939,1.125,0.8660289115646259,-35.808035714285715
OOS,control,1.0-1.5,5,392,0.9521683673469388,0.5,0.5153061224489796,12.433673469387756,-10.366071428571429,0.07397959183673469,1.125,0.8660289115646259,-35.808035714285715
OOS,control,1.0-1.5,15,392,1.5471938775510203,1.375,0.5255102040816326,20.20216836734694,-17.330994897959183,0.09948979591836735,1.125,0.8660289115646259,-35.808035714285715
OOS,control,1.0-1.5,30,392,5.746173469387755,4.0,0.5688775510204082,29.147959183673468,-24.4547193877551,0.14030612244897958,1.125,0.8660289115646259,-35.808035714285715
OOS,control,1.0-1.5,60,392,5.090561224489796,5.375,0.5739795918367347,41.48979591836735,-34.77933673469388,0.17857142857142858,1.125,0.8660289115646259,-35.808035714285715
OOS,control,1.5+,1,277,0.9025270758122743,-0.5,0.4620938628158845,10.135379061371841,-8.96841155234657,0.04693140794223827,1.1758241758241759,0.8400722021660649,-22.8014440433213
OOS,control,1.5+,5,277,-0.5613718411552346,-1.0,0.4657039711191336,18.27707581227437,-18.32851985559567,0.07581227436823104,1.1758241758241759,0.8400722021660649,-22.8014440433213
OOS,control,1.5+,15,277,1.2879061371841156,0.5,0.5018050541516246,31.604693140794225,-31.157039711191334,0.10469314079422383,1.1758241758241759,0.8400722021660649,-22.8014440433213
OOS,control,1.5+,30,277,-3.5740072202166067,-0.25,0.49097472924187724,42.40252707581227,-45.10649819494585,0.1588447653429603,1.1758241758241759,0.8400722021660649,-22.8014440433213
OOS,control,1.5+,60,277,1.736462093862816,3.5,0.5306859205776173,58.001805054151625,-63.074909747292416,0.24548736462093862,1.1758241758241759,0.8400722021660649,-22.8014440433213
OOS,control,<0.5,1,414,0.2469806763285024,0.25,0.5096618357487923,4.4353864734299515,-3.9003623188405796,0.00966183574879227,1.1234866828087167,0.9420289855072463,-82.94504830917874
OOS,control,<0.5,5,414,-1.1008454106280192,-0.25,0.4782608695652174,8.76388888888889,-9.519323671497585,0.016908212560386472,1.1234866828087167,0.9420289855072463,-82.94504830917874
OOS,control,<0.5,15,414,-0.4190821256038647,0.25,0.5024154589371981,13.806159420289855,-15.704106280193237,0.036231884057971016,1.1234866828087167,0.9420289855072463,-82.94504830917874
OOS,control,<0.5,30,414,-1.8743961352657006,0.875,0.5072463768115942,19.19927536231884,-22.179347826086957,0.06038647342995169,1.1234866828087167,0.9420289855072463,-82.94504830917874
OOS,control,<0.5,60,414,-1.247584541062802,1.375,0.5241545893719807,28.935990338164252,-33.48248792270532,0.08695652173913043,1.1234866828087167,0.9420289855072463,-82.94504830917874
Validation,break,0.5-1.0,1,250,-0.065,-0.25,0.464,2.783,-2.859,0.856,12.394444444444444,0.3375333333333333,26.735
Validation,break,0.5-1.0,5,250,0.23,-0.5,0.444,6.228,-5.777,0.748,12.394444444444444,0.3375333333333333,26.735
Validation,break,0.5-1.0,15,250,-1.191,-0.375,0.444,9.239,-10.233,0.66,12.394444444444444,0.3375333333333333,26.735
Validation,break,0.5-1.0,30,250,-0.492,-0.25,0.484,13.399,-15.008,0.66,12.394444444444444,0.3375333333333333,26.735
Validation,break,0.5-1.0,60,250,-0.889,-1.25,0.48,20.188,-21.433,0.572,12.394444444444444,0.3375333333333333,26.735
Validation,break,1.0-1.5,1,137,-0.009124087591240875,-0.5,0.4306569343065693,3.604014598540146,-3.104014598540146,0.9124087591240876,16.179775280898877,0.28661800486618005,28.611313868613138
Validation,break,1.0-1.5,5,137,-0.11861313868613138,-0.5,0.43795620437956206,6.868613138686132,-6.430656934306569,0.8248175182481752,16.179775280898877,0.28661800486618005,28.611313868613138
