session,entry_mode,horizon,split,regime,n,mean_resid,median_resid,p_struct,mean_pre_exc,mean_pre_psr,cover_tight,mean_net_tight,mean_netR_tight,p_net_pos_tight,breakeven_pts,cover_mid,mean_net_mid,mean_netR_mid,p_net_pos_mid,cover_wide,mean_net_wide,mean_netR_wide,p_net_pos_wide
LONDON,next_open,45,IS,ALL,12030,11.891479634247714,7.0,0.5712385702410641,9.835806317539484,0.2828595089491462,0.999667497921862,11.391479634247714,22.78295926849543,0.9995012468827931,2.0,0.9990856192851205,10.891479634247714,10.891479634247714,0.9951787198669991,0.9582709891936825,9.891479634247714,4.945739817123857,0.9362427265170408
LONDON,next_open,45,Validation,HIGH,1618,30.364647713226205,25.25,0.8405438813349815,35.08482694684796,0.49954595300295157,1.0,29.864647713226205,59.72929542645241,1.0,2.0,1.0,29.364647713226205,29.364647713226205,1.0,1.0,28.364647713226205,14.182323856613102,1.0
LONDON,next_open,45,Validation,LOW,855,31.591520467836258,24.5,0.3532163742690059,16.101461988304095,0.10954497882896484,1.0,31.091520467836258,62.183040935672516,1.0,2.0,1.0,30.591520467836258,30.591520467836258,1.0,1.0,29.591520467836258,14.795760233918129,1.0
LONDON,next_open,45,Validation,ALL,3875,31.356193548387097,25.75,0.6660645161290323,25.98406451612903,0.3070287037417241,1.0,30.856193548387097,61.712387096774194,1.0,2.0,1.0,30.356193548387097,30.356193548387097,1.0,1.0,29.356193548387097,14.678096774193548,1.0
LONDON,next_open,45,OOS,HIGH,376,46.62566489361702,37.0,0.776595744680851,64.19281914893617,0.536733647662612,1.0,46.12566489361702,92.25132978723404,1.0,2.0,1.0,45.62566489361702,45.62566489361702,1.0,1.0,44.62566489361702,22.31283244680851,1.0
LONDON,next_open,45,OOS,LOW,1039,47.81833493743984,38.75,0.3012512030798845,25.162415784408086,0.10435733516851088,1.0,47.31833493743984,94.63666987487969,1.0,2.0,1.0,46.81833493743984,46.81833493743984,1.0,1.0,45.81833493743984,22.90916746871992,1.0
LONDON,next_open,45,OOS,ALL,2065,46.4590799031477,37.5,0.46198547215496366,36.505690072639226,0.22324468589270588,1.0,45.9590799031477,91.9181598062954,1.0,2.0,1.0,45.4590799031477,45.4590799031477,1.0,1.0,44.4590799031477,22.22953995157385,1.0
LONDON,next_open,45,Y2025,HIGH,273,43.47161172161172,33.25,0.7765567765567766,57.74908424908425,0.5276560066384633,1.0,42.97161172161172,85.94322344322345,1.0,2.0,1.0,42.47161172161172,42.47161172161172,1.0,1.0,41.47161172161172,20.73580586080586,1.0
LONDON,next_open,45,Y2025,LOW,594,41.781565656565654,33.75,0.3282828282828283,22.227272727272727,0.10935783095166286,1.0,41.281565656565654,82.56313131313131,1.0,2.0,1.0,40.781565656565654,40.781565656565654,1.0,1.0,39.781565656565654,19.890782828282827,1.0
LONDON,next_open,45,Y2025,ALL,1285,40.25466926070039,32.5,0.48638132295719844,32.907003891050586,0.2364180645807905,1.0,39.75466926070039,79.50933852140078,1.0,2.0,1.0,39.25466926070039,39.25466926070039,1.0,1.0,38.25466926070039,19.127334630350195,1.0
