sample,period,direction,horizon,n,mfe_mean,mfe_median,mae_mean,mae_median,net,p_positive
excursion_matched,OOS,downside_failure_long,15,116,0.1653929263351837,0.1432426006882318,0.21035414919239082,0.15215706686863428,-0.0449612228572071,0.5
excursion_matched,OOS,downside_failure_long,30,116,0.23716248688377792,0.19370308891454965,0.28350488907653104,0.2203457054309327,-0.04634240219275311,0.45689655172413796
excursion_matched,OOS,upside_failure_short,1,116,0.04599831601485917,0.03416164594099683,0.04468994530161064,0.03431372549019608,0.001308370713248539,0.5086206896551724
excursion_matched,OOS,upside_failure_short,2,116,0.0663505165523172,0.04385205839462847,0.056614816840102826,0.04228499910602539,0.009735699712214382,0.49137931034482757
excursion_matched,OOS,upside_failure_short,3,116,0.08144215196473892,0.057149953318296864,0.06411948326331736,0.047865486650686795,0.01732266870142156,0.5344827586206896
excursion_matched,OOS,upside_failure_short,5,116,0.10078720035100366,0.07775782189645594,0.0812932467712251,0.0631107138988192,0.01949395357977857,0.5344827586206896
excursion_matched,OOS,upside_failure_short,10,116,0.12828860588953764,0.10868250954866997,0.11345765356661744,0.08206028162849616,0.014830952322920206,0.4827586206896552
excursion_matched,OOS,upside_failure_short,15,116,0.15082145868916788,0.12000518653805234,0.14281621306461523,0.1187863192515465,0.008005245624552643,0.47413793103448276
excursion_matched,OOS,upside_failure_short,30,116,0.19650639607627834,0.15434777725363347,0.20542406033327254,0.17012710507779982,-0.008917664256994208,0.5431034482758621
excursion_matched,Train,downside_failure_long,1,468,0.044012833519675096,0.03149801587301587,0.05481783913282877,0.04095610847078557,-0.01080500561315368,0.4166666666666667
