session_date,year,split,side,relative_volume,reentry_close_min,entry_min,entry,stop,target,target_name,risk_points,reward_r,exit_kind,net_points
2016-07-11,2016,Train,short,0.30729656575739545,679,680,4554.25,4556.25,4544.875,ib_mid,2.0,4.6875,stop,-3.0
2016-07-11,2016,Train,short,0.30729656575739545,679,680,4554.25,4556.25,4535.25,opposite_ib,2.0,9.5,stop,-3.0
2016-07-22,2016,Train,short,0.4963994457190886,664,665,4651.5,4655.25,4640.125,ib_mid,3.75,3.033333333333333,stop,-4.75
2016-07-22,2016,Train,short,0.4963994457190886,664,665,4651.5,4655.25,4628.5,opposite_ib,3.75,6.133333333333334,stop,-4.75
2016-07-29,2016,Train,short,0.4882349699674877,689,690,4729.5,4733.5,4720.125,ib_mid,4.0,2.34375,stop,-5.0
2016-07-29,2016,Train,short,0.4882349699674877,689,690,4729.5,4733.5,4709.0,opposite_ib,4.0,5.125,stop,-5.0
2016-08-05,2016,Train,short,0.41233085911141104,669,670,4794.5,4798.0,4777.125,ib_mid,3.5,4.964285714285714,time,6.75
2016-08-05,2016,Train,short,0.41233085911141104,669,670,4794.5,4798.0,4759.75,opposite_ib,3.5,9.928571428571429,time,6.75
2016-08-12,2016,Train,short,0.4262587256794891,674,675,4797.5,4800.0,4792.375,ib_mid,2.5,2.05,stop,-3.5
2016-08-12,2016,Train,short,0.4262587256794891,674,675,4797.5,4800.0,4787.0,opposite_ib,2.5,4.2,stop,-3.5
2016-08-19,2016,Train,short,0.5549048570683812,659,660,4810.5,4817.0,4798.0,ib_mid,6.5,1.9230769230769231,target,11.5
2016-08-19,2016,Train,short,0.5549048570683812,659,660,4810.5,4817.0,4785.0,opposite_ib,6.5,3.923076923076923,time,3.5
2016-09-06,2016,Train,short,0.3330315667621436,849,850,4818.75,4828.0,4807.5,ib_mid,9.25,1.2162162162162162,time,-8.0
2016-09-06,2016,Train,short,0.3330315667621436,849,850,4818.75,4828.0,4796.25,opposite_ib,9.25,2.4324324324324325,time,-8.0
