session_date,year,period,break_side,signal_end,extreme_end,reentry_end,rejection_minutes,entry_min,ib_width,excursion_ib,outside_5m,reentry_depth_ib,relvol,mfe60_ib,mae60_ib,reversal_net_ib,direction,id,gb1,gb2,gb3,gb4,gb5,sample
2024-02-21,2024,Validation,-1,749,759,759,0,760,77.25,0.0841423948220064,2,0.1262135922330097,0.3124986421603771,0.372168284789644,0.3915857605177993,-0.0194174757281553,downside_failure,1900,0.009708737864077669,0.15857605177993528,-0.016181229773462782,0.20711974110032363,0.34627831715210355,excursion_matched
2024-02-22,2024,Validation,1,679,679,689,10,690,106.25,0.0517647058823529,2,0.1388235294117647,0.474284923162121,0.1929411764705882,0.3411764705882353,-0.148235294117647,upside_failure,1901,-0.021176470588235293,0.14823529411764705,-0.009411764705882352,-0.0,-0.01647058823529412,excursion_matched
2024-02-23,2024,Validation,-1,644,674,724,50,725,101.0,0.9678217821782178,16,0.0099009900990099,1.089695704712732,0.193069306930693,0.5123762376237624,-0.3193069306930693,downside_failure,1902,0.07920792079207921,0.13366336633663367,-0.09653465346534654,-0.6212871287128713,-0.5965346534653465,excursion_matched
2024-02-26,2024,Validation,1,714,714,719,5,720,84.75,0.0943952802359882,1,0.0560471976401179,0.5529374497429275,0.3421828908554572,0.1563421828908554,0.1858407079646017,upside_failure,1903,0.11209439528023599,0.3008849557522124,0.3333333333333333,0.17404129793510326,0.26548672566371684,excursion_matched
2024-02-27,2024,Validation,-1,774,784,794,10,795,91.5,0.3524590163934426,4,0.1147540983606557,0.4534590370090343,0.3879781420765027,0.1639344262295081,0.2240437158469945,downside_failure,1904,-0.11475409836065574,0.00819672131147541,0.02185792349726776,0.13934426229508196,0.09836065573770492,excursion_matched
2024-02-28,2024,Validation,1,664,664,669,5,670,70.5,0.1666666666666666,1,0.0035460992907801,1.0242656649042103,0.1276595744680851,0.4078014184397163,-0.2801418439716312,upside_failure,1905,0.0673758865248227,0.11347517730496454,-0.10283687943262411,-0.11702127659574468,-0.14184397163120568,excursion_matched
2024-02-29,2024,Validation,-1,689,704,719,15,720,91.5,0.9043715846994536,6,0.0382513661202185,0.5049593130799503,0.4371584699453552,0.1666666666666666,0.2704918032786885,downside_failure,1906,-0.22404371584699453,-0.6311475409836066,-0.46994535519125685,-0.22131147540983606,-0.06830601092896176,excursion_matched
2024-03-05,2024,Validation,-1,634,654,684,30,685,183.0,0.2349726775956284,10,0.0464480874316939,0.8800656580516283,0.0163934426229508,0.2896174863387978,-0.2732240437158469,downside_failure,1907,-0.06967213114754098,-0.09972677595628415,-0.19398907103825136,-0.0778688524590164,-0.028688524590163935,excursion_matched
2024-03-06,2024,Validation,1,724,754,774,20,775,163.0,0.2929447852760736,10,0.0276073619631901,0.4493785670828866,0.5613496932515337,0.2392638036809816,0.3220858895705521,upside_failure,1908,-0.07208588957055215,-0.17024539877300612,-0.10122699386503067,-0.09969325153374232,-0.14263803680981596,excursion_matched
2024-03-08,2024,Validation,-1,669,674,674,0,675,146.75,0.2078364565587734,1,0.0051107325383304,1.6091154777321095,0.0068143100511073,1.10221465076661,-1.0954003407155026,downside_failure,1909,0.14991482112436116,-0.0868824531516184,-0.2606473594548552,-0.46337308347529815,-0.4088586030664395,excursion_matched
2024-03-11,2024,Validation,1,654,659,659,0,660,110.5,0.1855203619909502,1,0.002262443438914,0.7319229893219362,0.7737556561085973,0.1561085972850678,0.6176470588235294,upside_failure,1910,0.058823529411764705,0.01583710407239819,0.251131221719457,0.416289592760181,0.4411764705882353,excursion_matched
2024-03-12,2024,Validation,1,634,684,759,75,760,193.25,0.4670116429495472,25,0.0362225097024579,0.955514769622584,0.1901681759379042,0.2276843467011643,-0.03751617076326,upside_failure,1911,-0.00258732212160414,-0.05304010349288486,-0.18499353169469598,-0.15135834411384216,-0.11513583441138421,excursion_matched
2024-03-15,2024,Validation,-1,774,779,789,10,790,145.5,0.1563573883161512,3,0.0292096219931271,0.5061994322842592,0.3951890034364261,0.0292096219931271,0.3659793814432989,downside_failure,1912,-0.030927835051546393,-0.029209621993127148,0.11855670103092783,0.15979381443298968,0.18384879725085912,excursion_matched
