stop_rule,target_r,filter,period,n,E,PF,win
0.75x_ib_width,1.0,low_volume,Validation,201,0.06685323383084577,1.0018292423533415,0.5174129353233831
0.75x_ib_width,1.5,all,Inner,677,4.162296898079764,1.1728876993043997,0.5258493353028065
0.75x_ib_width,1.5,all,OOS,370,0.6930743243243244,1.0131557430926739,0.4972972972972973
0.75x_ib_width,1.5,all,Train,1441,-0.6627992713393477,0.927426899751623,0.43789035392088826
0.75x_ib_width,1.5,all,Validation,695,2.8450089928057554,1.073067222815016,0.5107913669064749
0.75x_ib_width,1.5,early,Inner,464,5.142780172413793,1.198595578673602,0.521551724137931
0.75x_ib_width,1.5,early,OOS,266,-2.488721804511278,0.9580707476961079,0.48872180451127817
0.75x_ib_width,1.5,early,Train,970,-0.4368234536082474,0.9558519955978979,0.4381443298969072
0.75x_ib_width,1.5,early,Validation,496,5.697643649193548,1.138934466526554,0.5181451612903226
0.75x_ib_width,1.5,high_volume,Inner,195,6.990224358974359,1.2987602739726027,0.49743589743589745
0.75x_ib_width,1.5,high_volume,OOS,85,16.241176470588236,1.3239184631177592,0.47058823529411764
0.75x_ib_width,1.5,high_volume,Train,481,0.23174376299376298,1.0233048909563696,0.4365904365904366
0.75x_ib_width,1.5,high_volume,Validation,188,8.771110372340425,1.2450677144290252,0.5106382978723404
0.75x_ib_width,1.5,highvol_early,Inner,167,9.988585329341317,1.4409228329285821,0.49700598802395207
0.75x_ib_width,1.5,highvol_early,OOS,69,28.03713768115942,1.6015313757117593,0.5217391304347826
0.75x_ib_width,1.5,highvol_early,Train,387,0.5909237726098191,1.056412944604616,0.4470284237726098
0.75x_ib_width,1.5,highvol_early,Validation,164,10.586128048780488,1.2974886211512717,0.524390243902439
0.75x_ib_width,1.5,low_volume,Inner,210,12.37827380952381,1.8174813766534976,0.5857142857142857
0.75x_ib_width,1.5,low_volume,OOS,136,5.353400735294118,1.1293844547615346,0.5441176470588235
0.75x_ib_width,1.5,low_volume,Train,481,-1.554054054054054,0.7991165157801031,0.43243243243243246
0.75x_ib_width,1.5,low_volume,Validation,201,-0.5382462686567164,0.9859434000568436,0.48756218905472637
0.75x_ib_width,2.0,all,Inner,677,4.288497045790251,1.1760350152528563,0.5140324963072378
0.75x_ib_width,2.0,all,OOS,370,0.43158783783783783,1.008092895672914,0.4891891891891892
0.75x_ib_width,2.0,all,Train,1441,-0.4723282442748092,0.9489575912107691,0.42817487855655795
0.75x_ib_width,2.0,all,Validation,695,5.832823741007195,1.1487299902086452,0.5050359712230216
0.75x_ib_width,2.0,early,Inner,464,4.870285560344827,1.1850854606788737,0.5043103448275862
0.75x_ib_width,2.0,early,OOS,266,-2.6705827067669174,0.9556787783782941,0.4774436090225564
