session,condition,regime,T_offset,horizon,frac,split,n,n_unc,rate,p_resolve,unc_p_resolve,delta,mean_already_moving,mean_share_pre
NY_AM,vol_expansion_high,HIGH,15,10,0.15,Validation,219,774,0.28294573643410853,0.9908675799086758,0.9186046511627907,0.07226292874588514,0.8538812785388128,0.009510798344419829
NY_AM,vol_expansion_high,HIGH,15,15,0.15,Validation,219,774,0.28294573643410853,0.9954337899543378,0.9612403100775194,0.03419347987681842,0.8538812785388128,0.007574147348013762
NY_AM,vol_expansion_high,HIGH,15,20,0.15,Validation,219,774,0.28294573643410853,0.9954337899543378,0.9767441860465116,0.018689603907826258,0.8538812785388128,0.006516649919374647
NY_AM,vol_expansion_high,HIGH,15,30,0.15,Validation,219,774,0.28294573643410853,0.9954337899543378,0.9883720930232558,0.007061696931082051,0.8538812785388128,0.005196565109057071
NY_AM,vol_expansion_high,HIGH,15,45,0.15,Validation,219,774,0.28294573643410853,1.0,0.9961240310077519,0.003875968992248069,0.8538812785388128,0.004435022828455406
NY_AM,vol_expansion_high,HIGH,15,10,0.25,Validation,219,774,0.28294573643410853,0.8812785388127854,0.6731266149870802,0.20815192382570524,0.8538812785388128,0.009510798344419829
NY_AM,vol_expansion_high,HIGH,15,15,0.25,Validation,219,774,0.28294573643410853,0.954337899543379,0.8074935400516796,0.14684435949169938,0.8538812785388128,0.007574147348013762
NY_AM,vol_expansion_high,HIGH,15,20,0.25,Validation,219,774,0.28294573643410853,0.9908675799086758,0.8682170542635659,0.12265052564510992,0.8538812785388128,0.006516649919374647
NY_AM,vol_expansion_high,HIGH,15,30,0.25,Validation,219,774,0.28294573643410853,0.9908675799086758,0.9224806201550387,0.06838695975363707,0.8538812785388128,0.005196565109057071
NY_AM,vol_expansion_high,HIGH,15,45,0.25,Validation,219,774,0.28294573643410853,1.0,0.9547803617571059,0.0452196382428941,0.8538812785388128,0.004435022828455406
NY_AM,vol_expansion_high,HIGH,15,10,0.35,Validation,219,774,0.28294573643410853,0.6438356164383562,0.4069767441860465,0.23685887225230967,0.8538812785388128,0.009510798344419829
NY_AM,vol_expansion_high,HIGH,15,15,0.35,Validation,219,774,0.28294573643410853,0.817351598173516,0.5891472868217055,0.22820431135181052,0.8538812785388128,0.007574147348013762
NY_AM,vol_expansion_high,HIGH,15,20,0.35,Validation,219,774,0.28294573643410853,0.9041095890410958,0.6925064599483204,0.21160312909277545,0.8538812785388128,0.006516649919374647
NY_AM,vol_expansion_high,HIGH,15,30,0.35,Validation,219,774,0.28294573643410853,0.958904109589041,0.7971576227390181,0.1617464868500229,0.8538812785388128,0.005196565109057071
NY_AM,vol_expansion_high,HIGH,15,45,0.35,Validation,219,774,0.28294573643410853,0.9863013698630136,0.8669250645994832,0.11937630526353049,0.8538812785388128,0.004435022828455406
NY_AM,vol_expansion_high,HIGH,15,10,0.15,OOS,143,412,0.3470873786407767,0.993006993006993,0.9466019417475728,0.04640505125942018,0.8391608391608392,0.009134704291770225
NY_AM,vol_expansion_high,HIGH,15,15,0.15,OOS,143,412,0.3470873786407767,0.993006993006993,0.970873786407767,0.02213320659922602,0.8391608391608392,0.007229511569171544
NY_AM,vol_expansion_high,HIGH,15,20,0.15,OOS,143,412,0.3470873786407767,1.0,0.9805825242718447,0.01941747572815533,0.8391608391608392,0.006451180453139847
NY_AM,vol_expansion_high,HIGH,15,30,0.15,OOS,143,412,0.3470873786407767,1.0,0.9902912621359223,0.009708737864077666,0.8391608391608392,0.005543558893057514
NY_AM,vol_expansion_high,HIGH,15,45,0.15,OOS,143,412,0.3470873786407767,1.0,0.9927184466019418,0.007281553398058249,0.8391608391608392,0.004789133990487398
NY_AM,vol_expansion_high,HIGH,15,10,0.25,OOS,143,412,0.3470873786407767,0.9020979020979021,0.7427184466019418,0.15937945549596033,0.8391608391608392,0.009134704291770225
NY_AM,vol_expansion_high,HIGH,15,15,0.25,OOS,143,412,0.3470873786407767,0.965034965034965,0.8398058252427184,0.1252291397922466,0.8391608391608392,0.007229511569171544
NY_AM,vol_expansion_high,HIGH,15,20,0.25,OOS,143,412,0.3470873786407767,0.972027972027972,0.8883495145631068,0.08367845746486513,0.8391608391608392,0.006451180453139847
NY_AM,vol_expansion_high,HIGH,15,30,0.25,OOS,143,412,0.3470873786407767,1.0,0.9199029126213593,0.08009708737864074,0.8391608391608392,0.005543558893057514
NY_AM,vol_expansion_high,HIGH,15,45,0.25,OOS,143,412,0.3470873786407767,1.0,0.9490291262135923,0.050970873786407744,0.8391608391608392,0.004789133990487398
NY_AM,vol_expansion_high,HIGH,15,10,0.35,OOS,143,412,0.3470873786407767,0.7482517482517482,0.5194174757281553,0.2288342725235929,0.8391608391608392,0.009134704291770225
NY_AM,vol_expansion_high,HIGH,15,15,0.35,OOS,143,412,0.3470873786407767,0.8671328671328671,0.662621359223301,0.20451150790956607,0.8391608391608392,0.007229511569171544
